Entity ID,Entity Name,Plant ID,Plant Name,Google Map,Bing Map,Plant State,County,Balancing Authority Code,Sector,Generator ID,Unit Code,Nameplate Capacity (MW),Net Summer Capacity (MW),Net Winter Capacity (MW),Technology,Energy Source Code,Prime Mover Code,Operating Month,Operating Year,Planned Retirement Month,Planned Retirement Year,Status,Nameplate Energy Capacity (MWh),DC Net Capacity (MW),Planned Derate Year,Planned Derate Month,Planned Derate of Summer Capacity (MW),Planned Uprate Year,Planned Uprate Month,Planned Uprate of Summer Capacity (MW),Planned Repower Year,Planned Repower Month,Other Modification Year,Other Modification Month,Latitude,Longitude
19564,University of Notre Dame,50366,University of Notre Dame,Map,Map,IN,St Joseph,PJM,Commercial CHP,GEN2,,1.7,1.7,1.7,Natural Gas Steam Turbine,NG,ST,7,1952, , ,(OP) Operating, , , , , , , , , , , , ,41.709400,-86.236700
19564,University of Notre Dame,50366,University of Notre Dame,Map,Map,IN,St Joseph,PJM,Commercial CHP,GEN3,,1.0,1.0,1.0,Petroleum Liquids,DFO,IC,7,1952, , ,(SB) Standby/Backup: available for service but not normally used, , , , , , , , , , , , ,41.709400,-86.236700
19564,University of Notre Dame,50366,University of Notre Dame,Map,Map,IN,St Joseph,PJM,Commercial CHP,GEN4,,1.0,1.0,1.0,Petroleum Liquids,DFO,IC,7,1952, , ,(SB) Standby/Backup: available for service but not normally used, , , , , , , , , , , , ,41.709400,-86.236700
19564,University of Notre Dame,50366,University of Notre Dame,Map,Map,IN,St Joseph,PJM,Commercial CHP,GEN5,,2.0,2.0,2.0,Natural Gas Steam Turbine,NG,ST,9,1956, , ,(OP) Operating, , , , , , , , , , , , ,41.709400,-86.236700
19564,University of Notre Dame,50366,University of Notre Dame,Map,Map,IN,St Joseph,PJM,Commercial CHP,GEN6,,5.0,5.0,5.0,Natural Gas Steam Turbine,NG,ST,2,1967, , ,(OP) Operating, , , , , , , , , , , , ,41.709400,-86.236700
19564,University of Notre Dame,50366,University of Notre Dame,Map,Map,IN,St Joseph,PJM,Commercial CHP,GEN7,,9.4,9.4,9.4,Natural Gas Steam Turbine,NG,ST,3,2000, , ,(OP) Operating, , , , , , , , , , , , ,41.709400,-86.236700
19564,University of Notre Dame,50366,University of Notre Dame,Map,Map,IN,St Joseph,PJM,Commercial CHP,GEN8,,1.9,1.7,1.8,Petroleum Liquids,DFO,IC,10,2006, , ,(OP) Operating, , , , , , , , , , , , ,41.709400,-86.236700
19564,University of Notre Dame,50366,University of Notre Dame,Map,Map,IN,St Joseph,PJM,Commercial CHP,GEN9,,1.9,1.7,1.8,Petroleum Liquids,DFO,IC,10,2006, , ,(OP) Operating, , , , , , , , , , , , ,41.709400,-86.236700
19564,University of Notre Dame,50366,University of Notre Dame,Map,Map,IN,St Joseph,PJM,Commercial CHP,GN10,,1.9,1.7,1.8,Petroleum Liquids,DFO,IC,10,2006, , ,(OP) Operating, , , , , , , , , , , , ,41.709400,-86.236700
19564,University of Notre Dame,50366,University of Notre Dame,Map,Map,IN,St Joseph,PJM,Commercial CHP,GT1,,5.4,5.6,4.7,Natural Gas Fired Combustion Turbine,NG,GT,6,2019, , ,(OP) Operating, , , , , , , , , , , , ,41.709400,-86.236700
19564,University of Notre Dame,50366,University of Notre Dame,Map,Map,IN,St Joseph,PJM,Commercial CHP,GT2,,5.4,5.6,4.7,Natural Gas Fired Combustion Turbine,NG,GT,6,2019, , ,(OP) Operating, , , , , , , , , , , , ,41.709400,-86.236700
21508,Cornell University - CHP,50368,Cornell University Central Heat,Map,Map,NY,Tompkins,NYIS,Commercial CHP,CT1,CT1,15.0,12.3,14.5,Natural Gas Fired Combined Cycle,NG,CT,12,2009, , ,(OP) Operating, , , , , , , , , , , , ,42.442800,-76.476400
21508,Cornell University - CHP,50368,Cornell University Central Heat,Map,Map,NY,Tompkins,NYIS,Commercial CHP,CT2,CT2,15.0,12.3,14.5,Natural Gas Fired Combined Cycle,NG,CT,12,2009, , ,(OP) Operating, , , , , , , , , , , , ,42.442800,-76.476400
21508,Cornell University - CHP,50368,Cornell University Central Heat,Map,Map,NY,Tompkins,NYIS,Commercial CHP,EDG1,,1.0,0.9,1.0,Petroleum Liquids,DFO,IC,12,2009, , ,(SB) Standby/Backup: available for service but not normally used, , , , , , , , , , , , ,42.442800,-76.476400
21508,Cornell University - CHP,50368,Cornell University Central Heat,Map,Map,NY,Tompkins,NYIS,Commercial CHP,EDG2,,1.0,0.9,1.0,Petroleum Liquids,DFO,IC,12,2009, , ,(SB) Standby/Backup: available for service but not normally used, , , , , , , , , , , , ,42.442800,-76.476400
21508,Cornell University - CHP,50368,Cornell University Central Heat,Map,Map,NY,Tompkins,NYIS,Commercial CHP,TG1,CT1,1.8,1.0,1.8,Natural Gas Fired Combined Cycle,NG,CA,7,1988, , ,(SB) Standby/Backup: available for service but not normally used, , , , , , , , , , , , ,42.442800,-76.476400
21508,Cornell University - CHP,50368,Cornell University Central Heat,Map,Map,NY,Tompkins,NYIS,Commercial CHP,TG2,CT2,5.7,5.3,5.7,Natural Gas Fired Combined Cycle,NG,CA,10,1988, , ,(OP) Operating, , , , , , , , , , , , ,42.442800,-76.476400
13875,Energy Center Paxton LLC,50373,Paxton Creek Cogeneration,Map,Map,PA,Dauphin,PJM,IPP CHP,GEN1,,6.3,6.0,6.0,Natural Gas Internal Combustion Engine,NG,IC,8,1986, , ,(SB) Standby/Backup: available for service but not normally used, , , , , , , , , , , , ,40.265300,-76.877100
13875,Energy Center Paxton LLC,50373,Paxton Creek Cogeneration,Map,Map,PA,Dauphin,PJM,IPP CHP,GEN2,,6.3,6.0,6.0,Natural Gas Internal Combustion Engine,NG,IC,8,1986, , ,(SB) Standby/Backup: available for service but not normally used, , , , , , , , , , , , ,40.265300,-76.877100
30076,Calleguas Mun Water District,50375,East Portal Generator,Map,Map,CA,Los Angeles,CISO,IPP Non-CHP,GEN1,,1.2,1.2,1.2,Conventional Hydroelectric,WAT,HY,1,1987, , ,(OP) Operating, , , , , , , , , , , , ,34.261900,-118.624200
42892,City of Spokane - (WA),50380,Upriver Dam Hydro Plant,Map,Map,WA,Spokane,AVA,IPP Non-CHP,GEN1,,2.0,0.5,1.5,Conventional Hydroelectric,WAT,HY,1,1936, , ,(OP) Operating, , , , , , , , , , , , ,47.682200,-117.331900
42892,City of Spokane - (WA),50380,Upriver Dam Hydro Plant,Map,Map,WA,Spokane,AVA,IPP Non-CHP,GEN2,,2.0,0.5,1.5,Conventional Hydroelectric,WAT,HY,1,1936, , ,(OP) Operating, , , , , , , , , , , , ,47.682200,-117.331900
42892,City of Spokane - (WA),50380,Upriver Dam Hydro Plant,Map,Map,WA,Spokane,AVA,IPP Non-CHP,GEN3,,2.0,0.5,1.5,Conventional Hydroelectric,WAT,HY,1,1936, , ,(OP) Operating, , , , , , , , , , , , ,47.682200,-117.331900
42892,City of Spokane - (WA),50380,Upriver Dam Hydro Plant,Map,Map,WA,Spokane,AVA,IPP Non-CHP,GEN4,,5.8,1.5,5.0,Conventional Hydroelectric,WAT,HY,6,1984, , ,(OP) Operating, , , , , , , , , , , , ,47.682200,-117.331900
42892,City of Spokane - (WA),50380,Upriver Dam Hydro Plant,Map,Map,WA,Spokane,AVA,IPP Non-CHP,GEN5,,5.8,1.5,5.0,Conventional Hydroelectric,WAT,HY,6,1984, , ,(OP) Operating, , , , , , , , , , , , ,47.682200,-117.331900
20032,City of Walla Walla - (WA),50382,Twin Reservoirs,Map,Map,WA,Walla Walla,BPAT,IPP Non-CHP,GEN1,,2.2,1.8,1.5,Conventional Hydroelectric,WAT,HY,4,1988, , ,(OP) Operating, , , , , , , , , , , , ,46.088333,-118.254700
57280,"Eagle Creek Renewable Energy, LLC",50384,Gregg Falls,Map,Map,NH,Hillsborough,ISNE,IPP Non-CHP,1,,2.2,2.1,2.1,Conventional Hydroelectric,WAT,HY,12,1985, , ,(OP) Operating, , , , , , , , , , , , ,43.016800,-71.567900
