tech,year,spot_margin,I,contract_payoff_per_MW,profit_per_MW,K_MW
nuclear,2017,228504.34471999996,393791.0855015716,0.0,-165286.74078157163,-0.0
nuclear,2018,344444.61928,393791.0855015716,0.0,-49346.46622157161,-0.0
nuclear,2019,243770.37775610684,393791.0855015716,0.0,-150020.70774546475,-0.0
nuclear,2020,218731.92651999995,393791.0855015716,0.0,-175059.15898157164,-0.0
nuclear,2021,309978.25059999997,393791.0855015716,0.0,-83812.83490157162,-0.0
nuclear,2022,211468.61051999996,393791.0855015716,0.0,-182322.47498157163,-0.0
nuclear,2023,236269.48115999997,393791.0855015716,0.0,-157521.60434157163,-0.0
nuclear,2024,520479.05656,393791.0855015716,0.0,126687.9710584284,-0.0
nuclear,2025,757588.2268120849,393791.0855015716,0.0,363797.1413105133,-0.0
ccgt,2017,31413.980720000007,95537.60126819545,0.0,-64123.62054819544,105227.77180674709
ccgt,2018,147354.25528,95537.60126819545,0.0,51816.65401180457,105227.77180674709
ccgt,2019,46680.013756106884,95537.60126819545,0.0,-48857.58751208856,105227.77180674709
ccgt,2020,21641.56252000001,95537.60126819545,0.0,-73896.03874819544,105227.77180674709
ccgt,2021,112887.8866,95537.60126819545,0.0,17350.285331804553,105227.77180674709
ccgt,2022,14378.246520000012,95537.60126819545,0.0,-81159.35474819543,105227.77180674709
ccgt,2023,39179.11716,95537.60126819545,0.0,-56358.484108195444,105227.77180674709
ccgt,2024,323388.69256,95537.60126819545,0.0,227851.09129180457,105227.77180674709
ccgt,2025,560497.862812085,95537.60126819545,0.0,464960.26154388953,105227.77180674709
ct,2017,19893.92888,81179.84459482426,0.0,-61285.91571482426,28197.880794533252
ct,2018,129310.53772,81179.84459482426,0.0,48130.693125175734,28197.880794533252
ct,2019,32280.076106026987,81179.84459482426,0.0,-48899.76848879727,28197.880794533252
ct,2020,9946.964440000002,81179.84459482426,0.0,-71232.88015482426,28197.880794533252
ct,2021,99469.64439999999,81179.84459482426,0.0,18289.79980517573,28197.880794533252
ct,2022,4.68247662865906e-12,81179.84459482426,0.0,-81179.84459482426,28197.880794533252
ct,2023,29840.89332,81179.84459482426,0.0,-51338.951274824256,28197.880794533252
ct,2024,308355.89764,81179.84459482426,0.0,227176.05304517574,28197.880794533252
ct,2025,539203.2215320851,81179.84459482426,0.0,458023.37693726085,28197.880794533252
coal,2017,35329.525519999945,250433.9871366213,0.0,-215104.46161662135,-0.0
coal,2018,151269.80008,250433.9871366213,0.0,-99164.1870566213,-0.0
coal,2019,50595.55855610683,250433.9871366213,0.0,-199838.42858051445,-0.0
coal,2020,25557.10731999995,250433.9871366213,0.0,-224876.87981662134,-0.0
coal,2021,116803.43139999996,250433.9871366213,0.0,-133630.55573662132,-0.0
coal,2022,18293.79131999995,250433.9871366213,0.0,-232140.19581662133,-0.0
coal,2023,43094.66195999997,250433.9871366213,0.0,-207339.32517662132,-0.0
coal,2024,327304.23735999997,250433.9871366213,0.0,76870.25022337868,-0.0
coal,2025,564413.4076120851,250433.9871366213,0.0,313979.42047546385,-0.0
solar,2017,54106.38975722048,74370.95515776894,0.0,-20264.56540054846,21110.899706013915
solar,2018,70932.83199602374,74370.95515776894,0.0,-3438.1231617451995,21110.899706013915
solar,2019,57279.89779152637,74370.95515776894,0.0,-17091.057366242574,21110.899706013915
solar,2020,58233.64842918764,74370.95515776894,0.0,-16137.306728581301,21110.899706013915
solar,2021,76238.97638417837,74370.95515776894,0.0,1868.0212264094298,21110.899706013915
solar,2022,48115.825308960295,74370.95515776894,0.0,-26255.129848808647,21110.899706013915
solar,2023,54728.60243052999,74370.95515776894,0.0,-19642.352727238955,21110.899706013915
solar,2024,134984.827894936,74370.95515776894,0.0,60613.872737167054,21110.899706013915
solar,2025,256284.2422736024,74370.95515776894,0.0,181913.28711583346,21110.899706013915
wind,2017,85042.09586367584,95974.26094574045,0.0,-10932.165082064603,27520.712450960444
wind,2018,103484.880438234,95974.26094574045,0.0,7510.619492493555,27520.712450960444
wind,2019,91858.66171616263,95974.26094574045,0.0,-4115.599229577812,27520.712450960444
wind,2020,86427.94378309266,95974.26094574045,0.0,-9546.317162647785,27520.712450960444
wind,2021,95466.3950650406,95974.26094574045,0.0,-507.8658806998428,27520.712450960444
wind,2022,97865.30261774446,95974.26094574045,0.0,1891.0416720040084,27520.712450960444
wind,2023,89361.13292253189,95974.26094574045,0.0,-6613.1280232085555,27520.712450960444
wind,2024,122569.55362971734,95974.26094574045,0.0,26595.29268397689,27520.712450960444
wind,2025,150627.62339125513,95974.26094574045,0.0,54653.36244551468,27520.712450960444
