tech,year,spot_margin,I,contract_payoff_per_MW,profit_per_MW,K_MW
nuclear,2017,256068.74734097166,393791.0855015716,0.0,-137722.33816059993,-0.0
nuclear,2018,384254.29532,393791.0855015716,-0.0,-9536.790181571618,-0.0
nuclear,2019,251321.92311999996,393791.0855015716,0.0,-142469.16238157163,-0.0
nuclear,2020,218761.45011734066,393791.0855015716,0.0,-175029.63538423093,-0.0
nuclear,2021,329981.27087999997,393791.0855015716,-0.0,-63809.814621571626,-0.0
nuclear,2022,211424.97395999997,393791.0855015716,0.0,-182366.11154157162,-0.0
nuclear,2023,244093.18646644097,393791.0855015716,0.0,-149697.89903513063,-0.0
nuclear,2024,560257.666620122,393791.0855015716,-0.0,166466.58111855044,-0.0
nuclear,2025,835031.3457200001,393791.0855015716,-0.0,441240.2602184285,-0.0
ccgt,2017,58978.38334097172,95537.60126819545,29775.52467504538,-6783.693252178346,105052.41743183121
ccgt,2018,187163.93131999997,95537.60126819545,-76940.9714615644,14685.358590240125,105052.41743183121
ccgt,2019,54231.559120000005,95537.60126819545,34986.17728948484,-6319.8648587106,105052.41743183121
ccgt,2020,21671.086117340725,95537.60126819545,61023.02571350378,-12843.48943735093,105052.41743183121
ccgt,2021,132890.90688,95537.60126819545,-32042.983821204347,5310.321790600203,105052.41743183121
ccgt,2022,14334.60996000001,95537.60126819545,67314.76006385882,-13888.23124433661,105052.41743183121
ccgt,2023,47002.822466441015,95537.60126819545,39898.94719405327,-8635.831607701162,105052.41743183121
ccgt,2024,363167.3026201219,95537.60126819545,-223574.32209112146,44055.37926080503,105052.41743183121
ccgt,2025,637940.9817199999,95537.60126819545,-445689.47791051614,96713.90254128835,105052.41743183121
ct,2017,47480.14978097171,81179.84459482426,29932.893420118304,-3766.801393734244,27774.751914396416
ct,2018,169098.39548,81179.84459482426,-77347.61766698779,10570.933218187958,27774.751914396416
ct,2019,39787.85776,81179.84459482426,35171.085225618015,-6220.901609206245,27774.751914396416
ct,2020,9946.964440000003,81179.84459482426,61345.54285071262,-9887.337304111643,27774.751914396416
ct,2021,119363.57328,81179.84459482426,-32212.33647602292,5971.392209152818,27774.751914396416
ct,2022,4.689582056016661e-12,81179.84459482426,67670.53009416873,-13509.314500655528,27774.751914396416
ct,2023,37642.78034644102,81179.84459482426,40109.81996013155,-3427.2442882516916,27774.751914396416
ct,2024,348143.7554,81179.84459482426,-224755.95065625958,42207.9601489162,27774.751914396416
ct,2025,616711.79528,81179.84459482426,-448045.0230972569,87486.92758791882,27774.751914396416
coal,2017,62893.92814097166,250433.9871366213,0.0,-187540.05899564963,-0.0
coal,2018,191079.47611999998,250433.9871366213,-0.0,-59354.51101662131,-0.0
coal,2019,58147.10391999995,250433.9871366213,0.0,-192286.88321662135,-0.0
coal,2020,25586.630917340663,250433.9871366213,0.0,-224847.35621928063,-0.0
coal,2021,136806.45167999994,250433.9871366213,-0.0,-113627.53545662135,-0.0
coal,2022,18250.154759999947,250433.9871366213,0.0,-232183.83237662134,-0.0
coal,2023,50918.36726644097,250433.9871366213,0.0,-199515.61987018032,-0.0
coal,2024,367082.847420122,250433.9871366213,-0.0,116648.86028350072,-0.0
coal,2025,641856.5265200001,250433.9871366213,-0.0,391422.5393833788,-0.0
solar,2017,66964.51905833113,74370.95515776894,0.0,-7406.436099437808,20811.311848574023
solar,2018,85215.28157589822,74370.95515776894,-0.0,10844.326418129276,20811.311848574023
solar,2019,58120.826858237124,74370.95515776894,0.0,-16250.128299531818,20811.311848574023
solar,2020,58271.21640709386,74370.95515776894,0.0,-16099.738750675082,20811.311848574023
solar,2021,76561.27959319022,74370.95515776894,-0.0,2190.32443542128,20811.311848574023
solar,2022,48122.48097443542,74370.95515776894,0.0,-26248.47418333352,20811.311848574023
solar,2023,58715.002591766235,74370.95515776894,0.0,-15655.952566002707,20811.311848574023
solar,2024,151870.58940288983,74370.95515776894,-0.0,77499.63424512089,20811.311848574023
solar,2025,277530.4630774631,74370.95515776894,-0.0,203159.50791969415,20811.311848574023
wind,2017,86517.77428597142,95974.26094574045,0.0,-9456.486659769027,29015.451036696464
wind,2018,106423.86732964093,95974.26094574045,-0.0,10449.606383900478,29015.451036696464
wind,2019,94329.11231429552,95974.26094574045,0.0,-1645.1486314449285,29015.451036696464
wind,2020,86418.43681192101,95974.26094574045,0.0,-9555.824133819435,29015.451036696464
wind,2021,96741.34993046927,95974.26094574045,-0.0,767.0889847288199,29015.451036696464
wind,2022,97807.91164463066,95974.26094574045,0.0,1833.650698890211,29015.451036696464
wind,2023,90365.79332659932,95974.26094574045,0.0,-5608.467619141127,29015.451036696464
wind,2024,125636.63897909019,95974.26094574045,-0.0,29662.37803334974,29015.451036696464
wind,2025,156966.97245016252,95974.26094574045,-0.0,60992.71150442207,29015.451036696464
storage4,2017,51792.67315564874,149446.06822502337,0.0,-97653.39506937462,-0.0
storage4,2018,155732.07750128466,149446.06822502337,-0.0,6286.009276261291,-0.0
storage4,2019,44570.707147244866,149446.06822502337,0.0,-104875.3610777785,-0.0
storage4,2020,13949.339450217218,149446.06822502337,0.0,-135496.72877480614,-0.0
storage4,2021,123757.24602781054,149446.06822502337,-0.0,-25688.822197212823,-0.0
storage4,2022,5549.64963231036,149446.06822502337,0.0,-143896.41859271302,-0.0
storage4,2023,38818.945947060005,149446.06822502337,0.0,-110627.12227796335,-0.0
storage4,2024,300792.3317439258,149446.06822502337,-0.0,151346.26351890244,-0.0
storage4,2025,402848.3414895731,149446.06822502337,-0.0,253402.27326454976,-0.0
storage8,2017,54585.64904094349,262946.94265621604,0.0,-208361.29361527256,-0.0
storage8,2018,178860.49751274235,262946.94265621604,-0.0,-84086.44514347368,-0.0
storage8,2019,47939.74682856867,262946.94265621604,0.0,-215007.19582764737,-0.0
storage8,2020,16836.177013180382,262946.94265621604,0.0,-246110.76564303564,-0.0
storage8,2021,127041.63431966898,262946.94265621604,-0.0,-135905.30833654705,-0.0
storage8,2022,8919.558345763322,262946.94265621604,0.0,-254027.3843104527,-0.0
storage8,2023,43547.01318356648,262946.94265621604,0.0,-219399.92947264956,-0.0
storage8,2024,356538.37619893154,262946.94265621604,-0.0,93591.4335427155,-0.0
storage8,2025,588821.52236338,262946.94265621604,-0.0,325874.5797071639,-0.0
