regime,gamma,tau_market,converged,C_mean_$bn,C_max_$bn,C_risk_adj_$bn,emissions_Mt_mean,lost_load_GWh_mean,lost_load_hours_mean,price_mean,price_load_wtd,hours_at_VOLL,p_hat,Q_bar_MW,runtime_s,K_nuclear_MW,K_ccgt_MW,K_ct_MW,K_coal_MW,K_solar_MW,K_wind_MW,K_storage4_MW,K_storage8_MW,share_nuclear,share_ccgt,share_ct,share_coal,share_solar,share_wind,share_storage4,share_storage8,share_lost_load,curt_hours_any_mean,curt_share_vre,curt_hours_solar_mean,curt_share_solar,curt_GWh_solar_mean,curt_hours_wind_mean,curt_share_wind,curt_GWh_wind_mean,premium_pct_nuclear,premium_pct_ccgt,premium_pct_ct,premium_pct_coal,premium_pct_solar,premium_pct_wind,premium_pct_storage4,premium_pct_storage8,chi_nuclear,chi_ccgt,chi_ct,chi_coal,chi_solar,chi_wind,chi_storage4,chi_storage8,cost_variable_om_fuel_$bn,cost_carbon_at_tau_welfare_$bn,cost_lost_load_$bn,cost_capex_annualized_$bn,cost_reliability_psi_$bn,gamma_requested,completion_s,n_evaluations
P1,0.0,0.0,True,102.02804663107108,107.72263071870746,102.02804663107108,227.55367460107962,21.965333520543027,8.0,42.12339886623378,48.58951453826404,72,,0.0,176.701007604599,-0.0,105062.38970917127,30012.733956709635,-0.0,22228.821180783933,27057.551474210803,-1.533643414107867e-14,-0.0,0.0,0.8531657811231269,0.008029218106233221,0.0,0.044327289841316724,0.09444985395132152,0.0,0.0,2.7856978001573656e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.336400128933143,63.715028888302285,0.2196533352054303,16.723844943774917,0.03311933485528831,0.6,0.0,0
P2,0.0,280.0,True,52.43962828958736,55.80247436485549,52.43962828958736,10.738931798987203,26.322163686350976,7.666666666666667,53.671700262754136,66.505230631161,74,,0.0,294.376487493515,82040.50025138521,29858.62799961491,15984.359758393668,-0.0,38459.709453845935,29356.77497445176,4077.4208210740953,0.0,0.7814402687984047,0.038735653646130346,0.0013498210803680906,0.0,0.07669388647775945,0.10247575843887968,-0.0007287708590720787,0.0,3.338241752981917e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.381916092994761,3.0069009037164167,0.2632216368635098,42.74418180576627,0.04340785024641245,0.6,0.0,0
R2,0.6,0.0,True,101.6566882457818,107.9237111176871,166.41091491639403,226.105764685033,40.021202840651206,12.88888888888889,47.62895788681877,57.40017056279779,116,,0.0,1303.2986934185028,-0.0,105275.28267009571,27932.922594253647,-0.0,21809.61053756333,28814.452456221698,-0.0,-0.0,0.0,0.8481760352140407,0.007699210010146041,0.0,0.04349132685724862,0.10058267204153279,0.0,0.0,5.0755877031680784e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,50.48137736359484,59.999999999999076,,20.44730719221105,6.435821702555971,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.199777287142084,63.30961411180924,0.40021202840651204,16.712785640752518,0.03429917767145132,0.6,1266.1000000000001,285
R3,0.6,0.0,True,102.12792366157747,108.52213045926474,167.24120193713628,227.76331189828326,41.617014950853815,12.88888888888889,47.73729927825091,57.56133962873162,116,43.27128371360772,112108.1003,1294.2291157245636,-0.0,104832.92057621302,28592.732025067307,-0.0,21110.899706013908,27520.71245096044,-0.0,-0.0,0.0,0.8533872117009789,0.008395395070805374,0.0,0.042098002519737956,0.09606661098314864,0.0,0.0,5.2779725329134724e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,51.47477742425138,59.99997213328902,,21.394132059024404,6.8909271348229915,,,0.0,0.8176296270595832,0.8167536160726642,0.0,0.14401950239797529,0.0,0.0,0.0,21.357163690161222,63.77372733151932,0.4161701495085382,16.547957121684345,0.03290536870406165,0.6,1256.6,192
R4,0.6,0.0,True,102.12792366157747,108.52213045926473,167.24120193713628,227.76331189828326,41.61701495085345,12.88888888888889,47.73729822523187,57.56133796904471,116,43.27128736887862,112108.1003,1187.3202533721924,-0.0,104832.92057621303,28592.7320250673,-0.0,21110.899706013908,27520.712450960436,-0.0,-0.0,0.0,0.853387211700979,0.008395395070805362,0.0,0.042098002519737956,0.09606661098314863,0.0,0.0,5.277972532913427e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,51.47476776894444,59.99995363230984,,21.39413765076017,6.8909271348229915,,,0.0,0.8404218196849202,0.8395219598256574,0.0,0.0,0.0,0.0,0.0,21.357163690161215,63.77372733151932,0.41617014950853454,16.547957121684345,0.03290536870406165,0.6,1151.5,192
R5,0.6,280.0,True,52.499795529081474,56.44128598635928,86.36456712089704,10.408378012105764,45.45852841193189,11.88888888888889,58.90848640735977,75.045947615164,119,56.34176478919106,112108.1003,1349.6559870243073,83782.65186466087,28424.43957054409,14790.28162677952,-0.0,37823.00383902807,23761.556050951727,3922.5515617993965,-0.0,0.8035524960304382,0.03722497984835039,0.0015105884268472728,0.0,0.07542420896755375,0.08294451553783803,-0.000714440438523703,0.0,5.7651627496152465e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.64938677275413,52.43194385390595,59.99996229218054,,10.634437369382784,11.438156964000843,28.171559074027755,,1.0,0.43098179866548925,0.4085344274869031,0.0,0.120955028669364,0.17289430449206208,0.34405484908207645,0.04799659405780176,6.5034640030849715,2.9143458433896146,0.4545852841193189,42.58877757359949,0.038622824888082434,0.6,1266.9,394
R6,0.6,280.0,True,52.49575480900129,56.49283085839664,86.39145332403928,11.561005146963804,44.75264818327829,12.222222222222221,61.75140057882371,77.90859493531444,118,,0.0,1089.6521136760712,81639.45360036222,30049.463274440855,14720.709325904361,-0.0,38876.14067010785,26587.998955656665,4101.6888339754305,0.0,0.7872197834401001,0.041700950580190584,0.0014531169923719003,0.0,0.07752430690680907,0.09281078595057564,-0.0007657002828188426,0.0,5.675641277141547e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.973534032273985,52.10530047644432,59.99999999999969,,14.497015981844365,15.55623182788824,27.670268513066326,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.49895755166329,3.237081441149866,0.4475264818327829,42.27076812268022,0.041421211675133816,0.6,1021.8999999999999,534
