regime,gamma,tau_market,converged,C_mean_$bn,C_max_$bn,C_risk_adj_$bn,emissions_Mt_mean,lost_load_GWh_mean,lost_load_hours_mean,price_mean,price_load_wtd,hours_at_VOLL,p_hat,Q_bar_MW,runtime_s,K_nuclear_MW,K_ccgt_MW,K_ct_MW,K_coal_MW,K_solar_MW,K_wind_MW,K_storage4_MW,K_storage8_MW,share_nuclear,share_ccgt,share_ct,share_coal,share_solar,share_wind,share_storage4,share_storage8,share_lost_load,curt_hours_any_mean,curt_share_vre,curt_hours_solar_mean,curt_share_solar,curt_GWh_solar_mean,curt_hours_wind_mean,curt_share_wind,curt_GWh_wind_mean,premium_pct_nuclear,premium_pct_ccgt,premium_pct_ct,premium_pct_coal,premium_pct_solar,premium_pct_wind,premium_pct_storage4,premium_pct_storage8,chi_nuclear,chi_ccgt,chi_ct,chi_coal,chi_solar,chi_wind,chi_storage4,chi_storage8,cost_variable_om_fuel_$bn,cost_carbon_at_tau_welfare_$bn,cost_lost_load_$bn,cost_capex_annualized_$bn,cost_reliability_psi_$bn,gamma_requested,completion_s,n_evaluations
P1,0.0,0.0,True,42.86409123479037,45.468586643488926,42.86409123479037,227.55367460107962,21.965333520543027,8.0,42.12339886623378,48.58951453826404,72,,0.0,146.76522183418274,-0.0,105062.38970917127,30012.733956709635,-0.0,22228.821180783933,27057.551474210803,-1.533643414107867e-14,-0.0,0.0,0.8531657811231269,0.008029218106233221,0.0,0.044327289841316724,0.09444985395132152,0.0,0.0,2.7856978001573656e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.336400128933143,4.551073492021592,0.2196533352054303,16.723844943774917,0.03311933485528831,0.6,0.0,0
P2,0.0,20.0,True,41.74355125603622,44.12689396125523,41.74355125603622,148.08514867892492,30.535732487507687,8.0,46.78335313156101,52.940201793858115,72,,0.0,65.90905117988586,-0.0,94122.39496212549,32514.218337342973,-0.0,29847.406307357272,110752.74835991759,-0.0,-0.0,0.0,0.5517598743978964,0.007420826023203932,0.0,0.058201790987130214,0.38257878242230914,0.0,0.0,3.8726169460203595e-05,463.8888888888889,0.011978873453146787,203.77777777777777,0.022143776583649633,1039.2423508484824,378.1111111111111,0.010413934936741032,3174.577766345931,,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.891868278577919,2.9617029735784994,0.3053573248750769,24.480920319659674,0.10370235934504482,0.6,0.0,0
R2,0.6,0.0,True,42.86918942767323,46.06175513865175,70.50624251086427,226.105764685033,40.021202840651206,12.88888888888889,47.62895788681877,57.40017056279779,116,,0.0,1324.3530023097992,-0.0,105275.28267009571,27932.922594253647,-0.0,21809.61053756333,28814.452456221698,-0.0,-0.0,0.0,0.8481760352140407,0.007699210010146041,0.0,0.04349132685724862,0.10058267204153279,0.0,0.0,5.0755877031680784e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,50.48137736359484,59.999999999999076,,20.44730719221105,6.435821702555971,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.199777287142084,4.522115293700661,0.40021202840651204,16.712785640752518,0.03429917767145132,0.6,1286.6000000000001,285
R3,0.6,0.0,True,42.90946256802383,46.196585599371666,70.62741392764681,227.76331189828326,41.617014950853815,12.88888888888889,47.73729927825091,57.56133962873162,116,43.27128371360772,112108.1003,1024.187968492508,-0.0,104832.92057621302,28592.732025067307,-0.0,21110.899706013908,27520.71245096044,-0.0,-0.0,0.0,0.8533872117009789,0.008395395070805374,0.0,0.042098002519737956,0.09606661098314864,0.0,0.0,5.2779725329134724e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,51.47477742425138,59.99997213328902,,21.394132059024404,6.8909271348229915,,,0.0,0.8176296270595832,0.8167536160726642,0.0,0.14401950239797529,0.0,0.0,0.0,21.357163690161222,4.5552662379656645,0.4161701495085382,16.547957121684345,0.03290536870406165,0.6,993.9000000000001,192
R4,0.6,0.0,True,42.90946256802383,46.19658559937165,70.62741392764681,227.76331189828326,41.61701495085345,12.88888888888889,47.73729822523187,57.56133796904471,116,43.27128736887862,112108.1003,1271.6467616558075,-0.0,104832.92057621303,28592.7320250673,-0.0,21110.899706013908,27520.712450960436,-0.0,-0.0,0.0,0.853387211700979,0.008395395070805362,0.0,0.042098002519737956,0.09606661098314863,0.0,0.0,5.277972532913427e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,51.47476776894444,59.99995363230984,,21.39413765076017,6.8909271348229915,,,0.0,0.8404218196849202,0.8395219598256574,0.0,0.0,0.0,0.0,0.0,21.357163690161215,4.5552662379656645,0.41617014950853454,16.547957121684345,0.03290536870406165,0.6,1234.4,192
R5,0.6,20.0,True,41.779149062301286,44.593275919053546,68.53511461373341,150.83637257891894,46.785553303504955,12.11111111111111,51.848604176649935,60.5870093695233,109,48.188065934173665,112108.1003,914.6289551258087,-0.0,93619.91870621846,31583.830173308204,-0.0,29793.971715482316,107509.84244590481,0.0,-0.0,0.0,0.5613298979675185,0.007991431592464815,0.0,0.058336554910850845,0.3722827809359555,0.0,0.0,5.933459321017261e-05,386.6666666666667,0.009382911772662626,172.33333333333334,0.018121773064811664,848.9607982609583,304.77777777777777,0.007999418754924714,2367.1362457265373,,43.380709668925256,49.9466432053887,,15.590931926708983,5.707243223691779,,,0.9957653346124826,0.8206224237157459,0.865568565827455,0.9089537118090498,0.18103242908424053,0.023717363797139773,0.7250876381097081,0.7081580426587862,14.15129588422407,3.016727451578379,0.4678555330350495,24.042176696856735,0.10109349660705132,0.6,875.2,362
R6,0.6,20.0,True,41.77935298591452,44.59831332317296,68.5383409798183,150.62630044386452,47.00930038395424,12.222222222222221,51.94600161023758,60.75794040604471,110,,0.0,1163.95876288414,-0.0,93438.7586120685,31724.80141798598,-0.0,29834.48040913404,107761.2275999061,-0.0,-0.0,0.0,0.5603544240955709,0.008103399238413097,0.0,0.05840960572687352,0.37307295258436357,0.0,0.0,5.961835477892651e-05,392.8888888888889,0.009580490719348028,176.55555555555554,0.01822708029949538,855.0551626900401,310.6666666666667,0.008212942200145679,2436.0034256637086,,44.52988617509725,51.08389920255387,,16.242403348398444,5.595204333728054,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.131966995076995,3.012526008877291,0.4700930038395424,24.063452294358484,0.10131468376220873,0.6,1121.4,290
