tech,year,spot_margin,I,contract_payoff_per_MW,profit_per_MW,K_MW
nuclear,2017,248398.27359999993,393791.0855015716,0.0,-145392.81190157167,-0.0
nuclear,2018,384319.75015999994,393791.0855015716,0.0,-9471.335341571656,-0.0
nuclear,2019,251339.54264755922,393791.0855015716,0.0,-142451.54285401237,-0.0
nuclear,2020,218731.92651999995,393791.0855015716,0.0,-175059.15898157164,-0.0
nuclear,2021,329959.45259999996,393791.0855015716,0.0,-63831.63290157163,-0.0
nuclear,2022,211446.79223999995,393791.0855015716,0.0,-182344.29326157164,-0.0
nuclear,2023,242248.09501768468,393791.0855015716,0.0,-151542.9904838869,-0.0
nuclear,2024,560223.2777600001,393791.0855015716,0.0,166432.1922584285,-0.0
nuclear,2025,844505.4748594597,393791.0855015716,0.0,450714.3893578881,-0.0
ccgt,2017,51307.9096,95537.60126819545,0.0,-44229.691668195446,105035.04506407643
ccgt,2018,187229.38616,95537.60126819545,0.0,91691.78489180455,105035.04506407643
ccgt,2019,54249.17864755926,95537.60126819545,0.0,-41288.422620636185,105035.04506407643
ccgt,2020,21641.56252000001,95537.60126819545,0.0,-73896.03874819544,105035.04506407643
ccgt,2021,132869.08860000002,95537.60126819545,0.0,37331.48733180457,105035.04506407643
ccgt,2022,14356.42824,95537.60126819545,0.0,-81181.17302819545,105035.04506407643
ccgt,2023,45157.7310176847,95537.60126819545,0.0,-50379.87025051074,105035.04506407643
ccgt,2024,363132.91375999997,95537.60126819545,0.0,267595.31249180454,105035.04506407643
ccgt,2025,647415.1108594595,95537.60126819545,0.0,551877.5095912641,105035.04506407643
ct,2017,39787.85776,81179.84459482426,0.0,-41391.98683482426,27696.27663899827
ct,2018,169098.39548,81179.84459482426,0.0,87918.55088517575,27696.27663899827
ct,2019,39787.85776,81179.84459482426,0.0,-41391.98683482426,27696.27663899827
ct,2020,9946.964440000002,81179.84459482426,0.0,-71232.88015482426,27696.27663899827
ct,2021,119363.57328000001,81179.84459482426,0.0,38183.72868517575,27696.27663899827
ct,2022,6.416200903913705e-12,81179.84459482426,0.0,-81179.84459482426,27696.27663899827
ct,2023,35819.507177684696,81179.84459482426,0.0,-45360.33741713956,27696.27663899827
ct,2024,348143.7554,81179.84459482426,0.0,266963.9108051758,27696.27663899827
ct,2025,626227.4312738101,81179.84459482426,0.0,545047.5866789859,27696.27663899827
coal,2017,55223.454399999944,250433.9871366213,0.0,-195210.53273662133,-0.0
coal,2018,191144.93096,250433.9871366213,0.0,-59289.05617662129,-0.0
coal,2019,58164.72344755921,250433.9871366213,0.0,-192269.2636890621,-0.0
coal,2020,25557.107319999945,250433.9871366213,0.0,-224876.87981662134,-0.0
coal,2021,136784.63339999996,250433.9871366213,0.0,-113649.35373662133,-0.0
coal,2022,18271.973039999935,250433.9871366213,0.0,-232162.01409662137,-0.0
coal,2023,49073.27581768464,250433.9871366213,0.0,-201360.71131893666,-0.0
coal,2024,367048.45856,250433.9871366213,0.0,116614.47142337871,-0.0
coal,2025,651330.6556594596,250433.9871366213,0.0,400896.6685228384,-0.0
solar,2017,62420.924023944084,74370.95515776894,0.0,-11950.031133824858,21064.931709738852
solar,2018,85209.7105545185,74370.95515776894,0.0,10838.755396749562,21064.931709738852
solar,2019,58088.840564788414,74370.95515776894,0.0,-16282.114592980528,21064.931709738852
solar,2020,58233.64842918764,74370.95515776894,0.0,-16137.306728581301,21064.931709738852
solar,2021,76533.08000816352,74370.95515776894,0.0,2162.1248503945826,21064.931709738852
solar,2022,48112.093896148974,74370.95515776894,0.0,-26258.861261619968,21064.931709738852
solar,2023,57775.899791026524,74370.95515776894,0.0,-16595.055366742417,21064.931709738852
solar,2024,151821.91067556164,74370.95515776894,0.0,77450.9555177927,21064.931709738852
solar,2025,277544.8964443038,74370.95515776894,0.0,203173.94128653486,21064.931709738852
wind,2017,86368.52184437268,95974.26094574045,0.0,-9605.73910136777,28769.323751028194
wind,2018,106456.5987931484,95974.26094574045,0.0,10482.33784740795,28769.323751028194
wind,2019,94336.60129376905,95974.26094574045,0.0,-1637.659651971393,28769.323751028194
wind,2020,86423.24050421582,95974.26094574045,0.0,-9551.020441524626,28769.323751028194
wind,2021,96737.22923138643,95974.26094574045,0.0,762.968285645984,28769.323751028194
wind,2022,97810.48879435312,95974.26094574045,0.0,1836.2278486126743,28769.323751028194
wind,2023,90129.39831863438,95974.26094574045,0.0,-5844.862627106064,28769.323751028194
wind,2024,125642.61625026302,95974.26094574045,0.0,29668.35530452257,28769.323751028194
wind,2025,157638.61646056047,95974.26094574045,0.0,61664.355514820025,28769.323751028194
storage4,2017,44127.90834265636,149446.06822502337,0.0,-105318.159882367,-0.0
storage4,2018,155767.1425999906,149446.06822502337,0.0,6321.074374967226,-0.0
storage4,2019,44599.12709127471,149446.06822502337,0.0,-104846.94113374865,-0.0
storage4,2020,13944.696662405913,149446.06822502337,0.0,-135501.37156261745,-0.0
storage4,2021,123773.5553760458,149446.06822502337,0.0,-25672.512848977567,-0.0
storage4,2022,5582.268328780933,149446.06822502337,0.0,-143863.79989624245,-0.0
storage4,2023,37564.8662384737,149446.06822502337,0.0,-111881.20198654965,-0.0
storage4,2024,300824.9504403965,149446.06822502337,0.0,151378.88221537313,-0.0
