tech,year,spot_margin,I,contract_payoff_per_MW,profit_per_MW,K_MW
nuclear,2017,256069.07834085755,393791.0855015716,0.0,-137722.00716071404,-0.0
nuclear,2018,384254.29532,393791.0855015716,-0.0,-9536.790181571618,-0.0
nuclear,2019,251321.92311999996,393791.0855015716,0.0,-142469.16238157163,-0.0
nuclear,2020,218761.7289372324,393791.0855015716,0.0,-175029.3565643392,-0.0
nuclear,2021,329981.27087999997,393791.0855015716,-0.0,-63809.814621571626,-0.0
nuclear,2022,211424.97395999997,393791.0855015716,0.0,-182366.11154157162,-0.0
nuclear,2023,244092.83147087198,393791.0855015716,0.0,-149698.2540306996,-0.0
nuclear,2024,560257.5629731532,393791.0855015716,-0.0,166466.4774715816,-0.0
nuclear,2025,835031.3457200001,393791.0855015716,-0.0,441240.2602184285,-0.0
ccgt,2017,58978.71434085762,95537.60126819545,28781.940483894174,-7776.946443443649,105052.41743183119
ccgt,2018,187163.93131999997,95537.60126819545,-74374.19791923196,17252.132132572573,105052.41743183119
ccgt,2019,54231.559120000005,95537.60126819545,33819.03346910749,-7487.00867908795,105052.41743183119
ccgt,2020,21671.36493723247,95537.60126819545,58987.070169841914,-14879.166161121058,105052.41743183119
ccgt,2021,132890.90688,95537.60126819545,-30974.018250143916,6379.287361660634,105052.41743183119
ccgt,2022,14334.609960000014,95537.60126819545,65069.12672704139,-16133.864581154041,105052.41743183119
ccgt,2023,47002.46747087204,95537.60126819545,38568.20068856963,-9966.933108753772,105052.41743183119
ccgt,2024,363167.1989731532,95537.60126819545,-216115.74231675925,51513.85538819851,105052.41743183119
ccgt,2025,637940.9817199999,95537.60126819545,-430821.1629989354,111582.21745286911,105052.41743183119
ct,2017,47480.480780857615,81179.84459482426,28933.98604984536,-4765.377764121284,27774.751914396416
ct,2018,169098.39548,81179.84459482426,-74767.09245047884,13151.458434696906,27774.751914396416
ct,2019,39787.85776,81179.84459482426,33997.68834773216,-7394.298487092099,27774.751914396416
ct,2020,9946.964440000003,81179.84459482426,59298.67954422704,-11934.200610597225,27774.751914396416
ct,2021,119363.57328,81179.84459482426,-31137.64384506379,7046.084840111947,27774.751914396416
ct,2022,5.151434834260726e-12,81179.84459482426,65412.865614441944,-15766.978980382315,27774.751914396416
ct,2023,37642.42535087204,81179.84459482426,38771.943862338405,-4765.475381613811,27774.751914396416
ct,2024,348143.75539999997,81179.84459482426,-217257.4110089692,49706.49979620651,27774.751914396416
ct,2025,616711.79528,81179.84459482426,-433097.05011601764,102434.90056915808,27774.751914396416
coal,2017,62894.25914085756,250433.9871366213,0.0,-187539.72799576374,-0.0
coal,2018,191079.47611999995,250433.9871366213,-0.0,-59354.51101662134,-0.0
coal,2019,58147.103919999965,250433.9871366213,0.0,-192286.88321662133,-0.0
coal,2020,25586.90973723241,250433.9871366213,0.0,-224847.0773993889,-0.0
coal,2021,136806.45167999994,250433.9871366213,-0.0,-113627.53545662135,-0.0
coal,2022,18250.15475999995,250433.9871366213,0.0,-232183.83237662134,-0.0
coal,2023,50918.012270872,250433.9871366213,0.0,-199515.9748657493,-0.0
coal,2024,367082.7437731533,250433.9871366213,-0.0,116648.756636532,-0.0
coal,2025,641856.5265200001,250433.9871366213,-0.0,391422.5393833788,-0.0
solar,2017,66964.71315447829,74370.95515776894,6346.8525062342,-1059.3894970564525,20811.311848574096
solar,2018,85215.28157589822,74370.95515776894,-16400.633749033754,-5556.307330904478,20811.311848574096
solar,2019,58120.826858237124,74370.95515776894,7457.607573468998,-8792.52072606282,20811.311848574096
solar,2020,58271.22088458696,74370.95515776894,13007.539722777585,-3092.194550404396,20811.311848574096
solar,2021,76561.27959319022,74370.95515776894,-6830.238755759932,-4639.914320338652,20811.311848574096
solar,2022,48122.48097443543,74370.95515776894,14348.725037392509,-11899.749145941005,20811.311848574096
solar,2023,58714.82302725358,74370.95515776894,8504.870661454175,-7151.261469061186,20811.311848574096
solar,2024,151870.53142432013,74370.95515776894,-47656.78469550515,29842.791571046037,20811.311848574096
solar,2025,277530.4630774631,74370.95515776894,-95002.57217363856,108156.93574605559,20811.311848574096
wind,2017,86517.78120678823,95974.26094574045,0.0,-9456.479738952214,29015.45103669642
wind,2018,106423.86732964093,95974.26094574045,-0.0,10449.606383900478,29015.45103669642
wind,2019,94329.11231429552,95974.26094574045,0.0,-1645.1486314449285,29015.45103669642
