tech,year,spot_margin,I,contract_payoff_per_MW,profit_per_MW,K_MW
nuclear,2017,297037.37852957705,393791.0855015716,93513.25169807125,-3240.4552739232895,83782.65186466087
nuclear,2018,513374.0214058234,393791.0855015716,-111745.66241520073,7837.273489051091,83782.65186466087
nuclear,2019,385291.84074367373,393791.0855015716,12047.713511243637,3548.4687533457763,83782.65186466087
nuclear,2020,250064.3263313874,393791.0855015716,138650.92881192168,-5075.830358262523,83782.65186466087
nuclear,2021,409952.2096722702,393791.0855015716,-13613.110393681098,2548.013777017535,83782.65186466087
nuclear,2022,329688.8564600993,393791.0855015716,68180.64895660721,4078.419915134902,83782.65186466087
nuclear,2023,244371.80480612777,393791.0855015716,143782.2675232404,-5637.013172203413,83782.65186466087
nuclear,2024,620855.6482002173,393791.0855015716,-217358.49042385572,9706.07227478997,83782.65186466087
nuclear,2025,906351.903007067,393791.0855015716,-481632.78585684043,30928.031648655015,83782.65186466087
ccgt,2017,37924.153856579476,95537.60126819545,40302.509415893364,-17310.937995722605,28424.43957054409
ccgt,2018,168217.64802122797,95537.60126819545,-48160.34658076977,24519.700172262754,28424.43957054409
ccgt,2019,93851.19754138186,95537.60126819545,5192.3452388823,3505.9415120687127,28424.43957054409
ccgt,2020,22085.0563715963,95537.60126819545,59756.02668600271,-13696.518210596427,28424.43957054409
ccgt,2021,113146.0820532798,95537.60126819545,-5867.002802900546,11741.477982183804,28424.43957054409
ccgt,2022,13138.91909832711,95537.60126819545,29384.61872149889,-53014.063448369445,28424.43957054409
ccgt,2023,26469.48455714248,95537.60126819545,61967.540273368715,-7100.576437684249,28424.43957054409
ccgt,2024,314521.6743892634,95537.60126819545,-93677.55315808886,125306.51996297909,28424.43957054409
ccgt,2025,521314.18863174785,95537.60126819545,-207574.9643448515,218201.62301870092,28424.43957054409
ct,2017,29400.313392393426,81179.84459482426,38203.38274491021,-13576.148457520627,14790.28162677952
ct,2018,147001.56696196712,81179.84459482426,-45651.95021893878,20169.772148204087,14790.28162677952
ct,2019,78400.83571304915,81179.84459482426,4921.905741842146,2142.896860067037,14790.28162677952
ct,2020,9800.104464131142,81179.84459482426,56643.67782270578,-14736.062307987333,14790.28162677952
ct,2021,98001.04464131143,81179.84459482426,-5561.424260998518,11259.77578548865,14790.28162677952
ct,2022,1.7905676941154525e-12,81179.84459482426,27854.142387173044,-53325.702207651215,14790.28162677952
ct,2023,19600.208928262287,81179.84459482426,58740.00634537576,-2839.6293211862067,14790.28162677952
ct,2024,296780.1893574567,81179.84459482426,-88798.4264447274,126801.91831790505,14790.28162677952
ct,2025,490005.2232065571,81179.84459482426,-196763.5744289465,212061.80418278635,14790.28162677952
coal,2017,29253.280322070015,250433.9871366213,0.0,-221180.70681455126,-0.0
coal,2018,146266.40161035006,250433.9871366213,-0.0,-104167.58552627123,-0.0
coal,2019,78008.74752552004,250433.9871366213,0.0,-172425.23961110125,-0.0
coal,2020,9751.093440690005,250433.9871366213,0.0,-240682.8936959313,-0.0
coal,2021,97510.93440690005,250433.9871366213,-0.0,-152923.05272972124,-0.0
coal,2022,0.0,250433.9871366213,0.0,-250433.9871366213,-0.0
coal,2023,19502.18688138001,250433.9871366213,0.0,-230931.80025524128,-0.0
coal,2024,295260.84763078147,250433.9871366213,-0.0,44826.86049416018,-0.0
coal,2025,487554.6720345003,250433.9871366213,-0.0,237120.684897879,-0.0
solar,2017,59339.66751262978,74370.95515776894,11309.17195622003,-3722.1156889191334,37823.00383902807
solar,2018,83557.96274545079,74370.95515776894,-13517.925884993305,-4330.91829731146,37823.00383902807
solar,2019,68939.30040040868,74370.95515776894,1455.5054492671293,-3976.149308093129,37823.00383902807
solar,2020,59881.45621000561,74370.95515776894,16768.800985594306,2279.30203783097,37823.00383902807
solar,2021,72909.54004032613,74370.95515776894,-1648.3002418325432,-3109.715359275355,37823.00383902807
solar,2022,62655.79261197912,74370.95515776894,8245.06626535664,-3470.0962804331793,37823.00383902807
