tech,year,spot_margin,I,contract_payoff_per_MW,profit_per_MW,K_MW
nuclear,2017,258345.23803999997,393791.0855015716,0.0,-135445.84746157163,-0.0
nuclear,2018,394158.74170515686,393791.0855015716,0.0,367.6562035852694,-0.0
nuclear,2019,260426.93673501958,393791.0855015716,0.0,-133364.148766552,-0.0
nuclear,2020,218622.83511999995,393791.0855015716,0.0,-175168.25038157165,-0.0
nuclear,2021,329828.54292,393791.0855015716,0.0,-63962.542581571615,-0.0
nuclear,2022,214265.33217985893,393791.0855015716,0.0,-179525.75332171266,-0.0
nuclear,2023,246216.44559999998,393791.0855015716,0.0,-147574.63990157162,-0.0
nuclear,2024,562695.3249898995,393791.0855015716,0.0,168904.23948832793,-0.0
nuclear,2025,855012.5477199999,393791.0855015716,0.0,461221.4622184283,-0.0
ccgt,2017,61254.87404,95537.60126819545,0.0,-34282.72722819544,105325.32909045194
ccgt,2018,197068.37770515692,95537.60126819545,0.0,101530.77643696147,105325.32909045194
ccgt,2019,63336.572735019596,95537.60126819545,0.0,-32201.02853317585,105325.32909045194
ccgt,2020,21532.471120000006,95537.60126819545,0.0,-74005.13014819544,105325.32909045194
ccgt,2021,132738.17891999998,95537.60126819545,0.0,37200.57765180453,105325.32909045194
ccgt,2022,17174.96817985898,95537.60126819545,0.0,-78362.63308833647,105325.32909045194
ccgt,2023,49126.0816,95537.60126819545,0.0,-46411.51966819545,105325.32909045194
ccgt,2024,365604.9609898995,95537.60126819545,0.0,270067.3597217041,105325.32909045194
ccgt,2025,657922.1837199999,95537.60126819545,0.0,562384.5824518044,105325.32909045194
ct,2017,49734.822199999995,81179.84459482426,0.0,-31445.022394824264,27440.449597362523
ct,2018,179045.35992000002,81179.84459482426,0.0,97865.51532517576,27440.449597362523
ct,2019,48892.87137501959,81179.84459482426,0.0,-32286.97321980467,27440.449597362523
ct,2020,9946.964440000002,81179.84459482426,0.0,-71232.88015482426,27440.449597362523
ct,2021,119363.57328,81179.84459482426,0.0,38183.72868517574,27440.449597362523
ct,2022,2796.7216598589794,81179.84459482426,0.0,-78383.12293496529,27440.449597362523
ct,2023,39787.85776,81179.84459482426,0.0,-41391.98683482426,27440.449597362523
ct,2024,350593.9843498996,81179.84459482426,0.0,269414.13975507533,27440.449597362523
ct,2025,636605.72416,81179.84459482426,0.0,555425.8795651757,27440.449597362523
coal,2017,65170.41883999995,250433.9871366213,0.0,-185263.56829662135,-0.0
coal,2018,200983.92250515692,250433.9871366213,0.0,-49450.06463146437,-0.0
coal,2019,67252.11753501956,250433.9871366213,0.0,-183181.86960160173,-0.0
coal,2020,25448.015919999947,250433.9871366213,0.0,-224985.97121662134,-0.0
coal,2021,136653.72371999995,250433.9871366213,0.0,-113780.26341662134,-0.0
coal,2022,21090.512979858926,250433.9871366213,0.0,-229343.47415676236,-0.0
coal,2023,53041.626399999965,250433.9871366213,0.0,-197392.3607366213,-0.0
coal,2024,369520.50578989956,250433.9871366213,0.0,119086.51865327827,-0.0
coal,2025,661837.72852,250433.9871366213,0.0,411403.74138337874,-0.0
solar,2017,68264.37862263466,74370.95515776894,0.0,-6106.576535134285,20860.88976999056
solar,2018,90630.62705961219,74370.95515776894,0.0,16259.671901843249,20860.88976999056
solar,2019,59310.78768932991,74370.95515776894,0.0,-15060.167468439031,20860.88976999056
