datetime_beginning_utc,datetime_beginning_ept,fuel_type,mw,fuel_percentage_of_total,is_renewable
12/31/2017 11:00:00 PM,12/31/2017 6:00:00 PM,Oil,4842,0.040,False
12/31/2017 11:00:00 PM,12/31/2017 6:00:00 PM,Other,38,0.000,False
12/31/2017 11:00:00 PM,12/31/2017 6:00:00 PM,Other Renewables,730,0.000,True
12/31/2017 11:00:00 PM,12/31/2017 6:00:00 PM,Solar,0,0.000,True
12/31/2017 11:00:00 PM,12/31/2017 6:00:00 PM,Storage,0,0.000,False
12/31/2017 11:00:00 PM,12/31/2017 6:00:00 PM,Wind,3380,0.030,True
12/31/2017 10:00:00 PM,12/31/2017 5:00:00 PM,Coal,48736,0.400,False
12/31/2017 10:00:00 PM,12/31/2017 5:00:00 PM,Gas,27046,0.220,False
12/31/2017 10:00:00 PM,12/31/2017 5:00:00 PM,Hydro,2687,0.020,True
12/31/2017 10:00:00 PM,12/31/2017 5:00:00 PM,Multiple Fuels,305,0.000,False
12/31/2017 10:00:00 PM,12/31/2017 5:00:00 PM,Nuclear,35542,0.290,False
12/31/2017 10:00:00 PM,12/31/2017 5:00:00 PM,Oil,4390,0.040,False
12/31/2017 10:00:00 PM,12/31/2017 5:00:00 PM,Other,37,0.000,False
12/31/2017 10:00:00 PM,12/31/2017 5:00:00 PM,Other Renewables,734,0.000,True
12/31/2017 10:00:00 PM,12/31/2017 5:00:00 PM,Solar,0,0.000,True
12/31/2017 10:00:00 PM,12/31/2017 5:00:00 PM,Storage,0,0.000,False
12/31/2017 10:00:00 PM,12/31/2017 5:00:00 PM,Wind,2638,0.020,True
12/31/2017 9:00:00 PM,12/31/2017 4:00:00 PM,Coal,48461,0.420,False
12/31/2017 9:00:00 PM,12/31/2017 4:00:00 PM,Gas,23448,0.200,False
12/31/2017 9:00:00 PM,12/31/2017 4:00:00 PM,Hydro,902,0.010,True
12/31/2017 9:00:00 PM,12/31/2017 4:00:00 PM,Multiple Fuels,293,0.000,False
12/31/2017 9:00:00 PM,12/31/2017 4:00:00 PM,Nuclear,35520,0.310,False
12/31/2017 9:00:00 PM,12/31/2017 4:00:00 PM,Oil,3444,0.030,False
12/31/2017 9:00:00 PM,12/31/2017 4:00:00 PM,Other,39,0.000,False
