datetime_beginning_utc,datetime_beginning_ept,fuel_type,mw,fuel_percentage_of_total,is_renewable
1/1/2017 4:00:00 AM,12/31/2016 11:00:00 PM,Coal,34820,0.410,False
1/1/2017 4:00:00 AM,12/31/2016 11:00:00 PM,Gas,11169,0.130,False
1/1/2017 4:00:00 AM,12/31/2016 11:00:00 PM,Hydro,699,0.010,True
1/1/2017 4:00:00 AM,12/31/2016 11:00:00 PM,Multiple Fuels,266,0.000,False
1/1/2017 4:00:00 AM,12/31/2016 11:00:00 PM,Nuclear,34269,0.410,False
1/1/2017 4:00:00 AM,12/31/2016 11:00:00 PM,Oil,174,0.000,False
1/1/2017 4:00:00 AM,12/31/2016 11:00:00 PM,Other,7,0.000,False
1/1/2017 4:00:00 AM,12/31/2016 11:00:00 PM,Other Renewables,690,0.010,True
1/1/2017 4:00:00 AM,12/31/2016 11:00:00 PM,Solar,0,0.000,True
1/1/2017 4:00:00 AM,12/31/2016 11:00:00 PM,Storage,0,0.000,False
1/1/2017 4:00:00 AM,12/31/2016 11:00:00 PM,Wind,2140,0.030,True
1/1/2017 3:00:00 AM,12/31/2016 10:00:00 PM,Coal,36432,0.420,False
1/1/2017 3:00:00 AM,12/31/2016 10:00:00 PM,Gas,12224,0.140,False
1/1/2017 3:00:00 AM,12/31/2016 10:00:00 PM,Hydro,703,0.010,True
1/1/2017 3:00:00 AM,12/31/2016 10:00:00 PM,Multiple Fuels,266,0.000,False
1/1/2017 3:00:00 AM,12/31/2016 10:00:00 PM,Nuclear,34276,0.390,False
1/1/2017 3:00:00 AM,12/31/2016 10:00:00 PM,Oil,172,0.000,False
1/1/2017 3:00:00 AM,12/31/2016 10:00:00 PM,Other,7,0.000,False
1/1/2017 3:00:00 AM,12/31/2016 10:00:00 PM,Other Renewables,668,0.010,True
1/1/2017 3:00:00 AM,12/31/2016 10:00:00 PM,Solar,0,0.000,True
1/1/2017 3:00:00 AM,12/31/2016 10:00:00 PM,Storage,0,0.000,False
1/1/2017 3:00:00 AM,12/31/2016 10:00:00 PM,Wind,2315,0.030,True
1/1/2017 2:00:00 AM,12/31/2016 9:00:00 PM,Coal,37194,0.410,False
1/1/2017 2:00:00 AM,12/31/2016 9:00:00 PM,Gas,13885,0.150,False
1/1/2017 2:00:00 AM,12/31/2016 9:00:00 PM,Hydro,1073,0.010,True
1/1/2017 2:00:00 AM,12/31/2016 9:00:00 PM,Multiple Fuels,282,0.000,False
1/1/2017 2:00:00 AM,12/31/2016 9:00:00 PM,Nuclear,34280,0.380,False
1/1/2017 2:00:00 AM,12/31/2016 9:00:00 PM,Oil,170,0.000,False
1/1/2017 2:00:00 AM,12/31/2016 9:00:00 PM,Other,7,0.000,False
1/1/2017 2:00:00 AM,12/31/2016 9:00:00 PM,Other Renewables,676,0.010,True
1/1/2017 2:00:00 AM,12/31/2016 9:00:00 PM,Solar,0,0.000,True
1/1/2017 2:00:00 AM,12/31/2016 9:00:00 PM,Storage,0,0.000,False
1/1/2017 2:00:00 AM,12/31/2016 9:00:00 PM,Wind,2691,0.030,True
1/1/2017 1:00:00 AM,12/31/2016 8:00:00 PM,Coal,38141,0.410,False
1/1/2017 1:00:00 AM,12/31/2016 8:00:00 PM,Gas,14858,0.160,False
1/1/2017 1:00:00 AM,12/31/2016 8:00:00 PM,Hydro,1532,0.020,True
1/1/2017 1:00:00 AM,12/31/2016 8:00:00 PM,Multiple Fuels,279,0.000,False
1/1/2017 1:00:00 AM,12/31/2016 8:00:00 PM,Nuclear,34264,0.370,False
1/1/2017 1:00:00 AM,12/31/2016 8:00:00 PM,Oil,171,0.000,False
1/1/2017 1:00:00 AM,12/31/2016 8:00:00 PM,Other,8,0.000,False
1/1/2017 1:00:00 AM,12/31/2016 8:00:00 PM,Other Renewables,673,0.010,True
1/1/2017 1:00:00 AM,12/31/2016 8:00:00 PM,Solar,0,0.000,True
1/1/2017 1:00:00 AM,12/31/2016 8:00:00 PM,Storage,0,0.000,False
