tech,year,spot_margin,I,contract_payoff_per_MW,profit_per_MW,K_MW
nuclear,2017,258497.96599999996,393791.0855015716,0.0,-135293.11950157164,-0.0
nuclear,2018,380845.5220664287,393791.0855015716,-0.0,-12945.563435142918,-0.0
nuclear,2019,241505.86835999996,393791.0855015716,0.0,-152285.21714157163,-0.0
nuclear,2020,218906.47275999998,393791.0855015716,0.0,-174884.61274157162,-0.0
nuclear,2021,330133.9988399999,393791.0855015716,-0.0,-63657.086661571695,-0.0
nuclear,2022,211555.88363999996,393791.0855015716,0.0,-182235.20186157164,-0.0
nuclear,2023,246369.17355999997,393791.0855015716,0.0,-147421.91194157163,-0.0
nuclear,2024,560506.9153999999,393791.0855015716,-0.0,166715.82989842835,-0.0
nuclear,2025,844066.4485320305,393791.0855015716,-0.0,450275.36303045886,-0.0
ccgt,2017,61407.602,95537.60126819545,26974.622959148037,-7155.376309047409,104595.75514911397
ccgt,2018,183755.15806642876,95537.60126819545,-71805.50473018696,16412.052068046352,104595.75514911397
ccgt,2019,44415.504360000006,95537.60126819545,41941.72318507252,-9180.373723122917,104595.75514911397
ccgt,2020,21816.10876000001,95537.60126819545,59126.6176854543,-14594.874822741127,104595.75514911397
ccgt,2021,133043.63483999996,95537.60126819545,-31110.870782167975,6395.162789636535,104595.75514911397
ccgt,2022,14465.519640000011,95537.60126819545,65239.95018090065,-15832.131447294785,104595.75514911397
ccgt,2023,49278.80956,95537.60126819545,36907.500140869284,-9351.29156732616,104595.75514911397
ccgt,2024,363416.5514,95537.60126819545,-216883.96598905555,50994.98414274902,104595.75514911397
ccgt,2025,646976.0845320304,95537.60126819545,-438833.48096305167,112605.0023007833,104595.75514911397
ct,2017,49734.822199999995,81179.84459482426,27112.547374774465,-4332.475020049798,27904.17582946905
ct,2018,165624.16738642877,81179.84459482426,-72172.65471013926,12271.66808146525,27904.17582946905
ct,2019,29840.893320000003,81179.84459482426,42156.17614218807,-9182.775132636183,27904.17582946905
ct,2020,9946.964440000002,81179.84459482426,59428.93902668617,-11803.941128138096,27904.17582946905
ct,2021,119363.57327999997,81179.84459482426,-31269.944318756723,6913.784366418986,27904.17582946905
ct,2022,4.924061158817494e-12,81179.84459482426,65573.52970925311,-15606.314885571148,27904.17582946905
ct,2023,39787.85776,81179.84459482426,37096.21252424053,-4295.774310583729,27904.17582946905
ct,2024,348143.7554,81179.84459482426,-217992.91918232484,48970.99162285094,27904.17582946905
ct,2025,625733.5152499205,81179.84459482426,-441077.28809654905,103476.38255854725,27904.17582946905
coal,2017,65323.146799999944,250433.9871366213,0.0,-185110.84033662133,-0.0
coal,2018,187670.70286642874,250433.9871366213,-0.0,-62763.284270192555,-0.0
coal,2019,48331.04915999995,250433.9871366213,0.0,-202102.93797662132,-0.0
coal,2020,25731.653559999948,250433.9871366213,0.0,-224702.33357662134,-0.0
coal,2021,136959.17963999993,250433.9871366213,-0.0,-113474.80749662136,-0.0
coal,2022,18381.06443999995,250433.9871366213,0.0,-232052.92269662133,-0.0
