regime,gamma,tau_market,converged,C_mean_$bn,C_max_$bn,C_risk_adj_$bn,emissions_Mt_mean,lost_load_GWh_mean,lost_load_hours_mean,price_mean,price_load_wtd,hours_at_VOLL,p_hat,Q_bar_MW,runtime_s,K_nuclear_MW,K_ccgt_MW,K_ct_MW,K_coal_MW,K_solar_MW,K_wind_MW,K_storage4_MW,K_storage8_MW,share_nuclear,share_ccgt,share_ct,share_coal,share_solar,share_wind,share_storage4,share_storage8,share_lost_load,curt_hours_any_mean,curt_share_vre,curt_hours_solar_mean,curt_share_solar,curt_GWh_solar_mean,curt_hours_wind_mean,curt_share_wind,curt_GWh_wind_mean,premium_pct_nuclear,premium_pct_ccgt,premium_pct_ct,premium_pct_coal,premium_pct_solar,premium_pct_wind,premium_pct_storage4,premium_pct_storage8,chi_nuclear,chi_ccgt,chi_ct,chi_coal,chi_solar,chi_wind,chi_storage4,chi_storage8,cost_variable_om_fuel_$bn,cost_carbon_at_tau_welfare_$bn,cost_lost_load_$bn,cost_capex_annualized_$bn,cost_reliability_psi_$bn,gamma_requested,completion_s,n_evaluations
P1,0.0,0.0,True,61.06838520287674,64.62367712817156,61.06838520287674,227.55367460107962,21.965333520543027,8.0,42.12339886623378,48.58951453826404,72,,0.0,179.6166787147522,-0.0,105062.38970917127,30012.733956709635,-0.0,22228.821180783933,27057.551474210803,-1.533643414107867e-14,-0.0,0.0,0.8531657811231269,0.008029218106233221,0.0,0.044327289841316724,0.09444985395132152,0.0,0.0,2.7856978001573656e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.336400128933143,22.755367460107962,0.2196533352054303,16.723844943774917,0.03311933485528831,0.3,0.0,0
P2,0.0,100.0,True,49.08669736557885,51.854872039059885,49.08669736557885,35.122735693206984,26.539036512410085,8.11111111111111,53.67125792992109,62.252960894225204,73,,0.0,292.62488079071045,60047.060073281296,45302.05154662213,24521.117729504498,-0.0,34003.222356318765,54878.90358830366,0.0,-0.0,0.6090150115335924,0.12799450541230745,0.003584929293214423,0.0,0.06780645325251115,0.19156544304737508,0.0,0.0,3.3657460999521895e-05,0.4444444444444444,4.078410520347273e-06,0.2222222222222222,8.736767780903598e-06,0.4671210257946481,0.2222222222222222,2.4295292238019073e-06,0.36698148324153995,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.487153907057512,3.5122735693206972,0.2653903651241009,37.76048116978192,0.06139835429462041,0.3,0.0,0
R2,0.3,0.0,True,60.740326929206624,64.71891458952793,80.15600130606501,224.12239142744383,33.52645315082608,10.555555555555555,44.96596366522052,53.10362540481118,95,,0.0,362.28005933761597,-0.0,104030.62210757169,29616.53190808466,-0.0,21220.903557227026,31454.005751757515,-0.0,-0.0,0.0,0.8392981799316873,0.008545369359066858,0.0,0.04231736514615561,0.10979656648788379,0.0,0.0,4.2519075206387434e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,26.063944780464706,29.99999999999989,,10.511506940690394,3.405017805937046,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.016634691428518,22.412239142744383,0.33526453150826074,16.940095375001338,0.036093188524135233,0.3,341.9,68
R3,0.3,0.0,True,60.813609926209026,64.78113311131993,80.247949859605,224.87300317385518,32.76708079493924,10.444444444444445,44.90894189328672,53.04029417517215,94,43.22598607510797,112108.1003,439.0108907222748,-0.0,104672.81426523716,29208.311595595904,-0.0,20897.26663041478,30758.659492182145,-0.0,-0.0,0.0,0.8427512295741265,0.00816590548362635,0.0,0.0416719891389672,0.10736931978283407,0.0,0.0,4.155602044588682e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,25.5411027627578,29.999978989914872,,10.605233249297138,3.428772328431264,,,0.9995326516077373,0.9995326516077406,0.22748342620098042,0.9995326516077356,0.04018697400782118,0.0,0.6321961651384552,0.8145233388093275,21.085762614912728,22.48730031738552,0.32767080794939246,16.877505081034172,0.03537110492721575,0.3,414.5,66
R4,0.3,0.0,True,60.813609926209026,64.78113311131993,80.247949859605,224.87300317385518,32.76708079493924,10.444444444444445,44.90894360272194,53.040296785064434,94,43.22598983748025,112108.1003,474.0967674255371,-0.0,104672.81426523716,29208.311595595904,-0.0,20897.26663041478,30758.659492182145,-0.0,-0.0,0.0,0.8427512295741265,0.00816590548362635,0.0,0.0416719891389672,0.10736931978283407,0.0,0.0,4.155602044588682e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,25.54111843685081,29.999997123498204,,10.605237142156346,3.428772328431264,,,0.999532651607739,0.9995326516077331,0.25623544454901803,0.999532651607739,0.0,0.0,0.6321962052660656,0.8145233388093451,21.085762614912728,22.48730031738552,0.32767080794939246,16.877505081034172,0.03537110492721575,0.3,448.80000000000007,66
R5,0.3,100.0,True,49.09954554670213,52.20304060356943,64.76045772777296,35.22908890043963,36.645501368633674,10.222222222222221,56.418265958474116,66.39395326138882,92,55.1977346223699,112108.1003,645.6587181091309,60635.210871052695,44919.77364547469,23530.0777116487,-0.0,32908.767785205564,52756.557245685726,0.0,-0.0,0.6182563313744122,0.1282104433154861,0.0037048591074209437,0.0,0.06562455453987094,0.18415733693368583,0.0,0.0,4.647472912386848e-05,0.1111111111111111,3.7040717292417457e-07,0.0,0.0,0.0,0.1111111111111111,5.024018788768458e-07,0.07295319216095877,6.110063200842217,22.484010050572678,25.896673904351964,,6.049783762430892,4.836771416879361,,,1.0,0.6602168367775303,0.6192264091344539,0.0,0.0,0.13734127877578656,0.06952396273540241,0.020354406672617942,7.5610137511701545,3.522908890043963,0.36645501368633676,37.59002906901056,0.05913882279111441,0.3,594.3,128
R6,0.3,100.0,True,49.10164849776992,52.20504434869061,64.76316180237711,36.80904653663752,37.77134193053686,10.222222222222221,56.97983222783205,66.80899850590686,92,,0.0,744.7610855102539,58769.150548999445,46001.48412697858,23720.254125041025,-0.0,34453.37823084477,56159.59151218191,-0.0,-0.0,0.5972943029232491,0.13419927847132754,0.0037192313012329257,0.0,0.06870363427160898,0.19603565048467497,0.0,0.0,4.790254790644626e-05,0.5555555555555556,6.955785484717909e-06,0.2222222222222222,1.5768573354058013e-05,0.8542456237730552,0.3333333333333333,3.8671750242080805e-06,0.5977703454836608,7.360268077583466,22.48402778346901,25.896693644461784,,5.948641728723884,5.520499045436758,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.564926663262398,3.6809046536637506,0.37771341930536867,37.41545151842099,0.06265224311740855,0.3,701.7,117
