tech,year,spot_margin,I,contract_payoff_per_MW,profit_per_MW,K_MW
nuclear,2017,347766.93198490655,393791.0855015716,44697.64545591036,-1326.5080607546843,62009.30339331865
nuclear,2018,493453.31931881304,393791.0855015716,-94881.98486731376,4780.248949927685,62009.30339331865
nuclear,2019,360642.1946694746,393791.0855015716,33702.508985680994,553.6181535840151,62009.30339331865
nuclear,2020,310470.2619008068,393791.0855015716,79530.46461138607,-3790.3589893787284,62009.30339331865
nuclear,2021,435073.762579974,393791.0855015716,-40855.50791192701,427.169166475418,62009.30339331865
nuclear,2022,318284.1258993236,393791.0855015716,75171.73908437672,-335.2205178712611,62009.30339331865
nuclear,2023,331013.19279435324,393791.0855015716,61535.912566350424,-1241.980140867934,62009.30339331865
nuclear,2024,576482.7884860607,393791.0855015716,-177978.22217552515,4713.480808963941,62009.30339331865
nuclear,2025,797766.1149018252,393791.0855015716,-386849.5431916759,17125.4862085777,62009.30339331865
ccgt,2017,51081.128874052134,95537.60126819545,29118.55532719173,-15337.91706695158,44089.42786786223
ccgt,2018,157518.34052355314,95537.60126819545,-61811.451089473805,169.28816588388872,44089.42786786223
ccgt,2019,64905.518139893145,95537.60126819545,21955.70622467682,-8676.376903625482,44089.42786786223
ccgt,2020,43151.551834045255,95537.60126819545,51810.60904579908,-575.4403883511113,44089.42786786223
ccgt,2021,141254.05644831026,95537.60126819545,-26615.57125480887,19100.88392530595,44089.42786786223
ccgt,2022,22994.097172694102,95537.60126819545,48971.090562896934,-23572.413532604405,44089.42786786223
ccgt,2023,37788.91015637671,95537.60126819545,40087.947729595086,-17660.74338222365,44089.42786786223
ccgt,2024,263737.3396205514,95537.60126819545,-115945.00463263161,52254.73371972435,44089.42786786223
ccgt,2025,469200.824855273,95537.60126819545,-252015.50801679108,121647.7155702865,44089.42786786223
ct,2017,39578.05779447306,81179.84459482426,27842.428026392896,-13759.358773958302,22702.312899849538
ct,2018,138523.2022806557,81179.84459482426,-59102.550206482214,-1759.1925206507658,22702.312899849538
ct,2019,49472.57224309133,81179.84459482426,20993.492412665863,-10713.779939067066,22702.312899849538
ct,2020,29683.543345854796,81179.84459482426,49539.99733682403,-1956.3039121454349,22702.312899849538
ct,2021,126107.6639235976,81179.84459482426,-25449.13779947529,19478.681529298054,22702.312899849538
ct,2022,9894.51444861828,81179.84459482426,46824.921396363905,-24460.40874984207,22702.312899849538
ct,2023,29683.5433458548,81179.84459482426,38331.08431532533,-13165.21693364413,22702.312899849538
ct,2024,247362.86121545665,81179.84459482426,-110863.68847046683,55319.328150165544,22702.312899849538
ct,2025,445253.15018782194,81179.84459482426,-240970.87113864927,123102.43445434843,22702.312899849538
coal,2017,39565.295572414296,250433.9871366213,0.0,-210868.691564207,-0.0
coal,2018,138478.53450345004,250433.9871366213,-0.0,-111955.45263317126,-0.0
coal,2019,49456.61946551787,250433.9871366213,0.0,-200977.36767110342,-0.0
coal,2020,29673.97167931072,250433.9871366213,0.0,-220760.01545731057,-0.0
coal,2021,126066.18670190661,250433.9871366213,-0.0,-124367.80043471468,-0.0
coal,2022,9891.323893103574,250433.9871366213,0.0,-240542.66324351772,-0.0
coal,2023,29673.97167931072,250433.9871366213,0.0,-220760.01545731057,-0.0
coal,2024,247283.09732758935,250433.9871366213,-0.0,-3150.8898090319417,-0.0
coal,2025,445109.5751896608,250433.9871366213,-0.0,194675.58805303954,-0.0
solar,2017,64730.538051348645,74370.95515776894,0.0,-9640.417106420296,32262.655505855048
solar,2018,80895.08426053615,74370.95515776894,-0.0,6524.129102767212,32262.655505855048
solar,2019,67948.96463597096,74370.95515776894,0.0,-6421.990521797983,32262.655505855048
solar,2020,65921.79704350852,74370.95515776894,0.0,-8449.158114260426,32262.655505855048
solar,2021,77704.56147417598,74370.95515776894,-0.0,3333.6063164070365,32262.655505855048
solar,2022,59690.22667463642,74370.95515776894,0.0,-14680.728483132523,32262.655505855048
solar,2023,63864.84090863676,74370.95515776894,0.0,-10506.11424913218,32262.655505855048
solar,2024,110299.88419382396,74370.95515776894,-0.0,35928.92903605502,32262.655505855048
solar,2025,157928.0348395205,74370.95515776894,-0.0,83557.07968175155,32262.655505855048
wind,2017,91971.50871541712,95974.26094574045,6662.907340683597,2660.1551103602696,48523.00174288535
wind,2018,117434.94828793555,95974.26094574045,-14149.232381809468,7311.454960385634,48523.00174288535
wind,2019,94431.66068025805,95974.26094574045,5023.468147755614,3480.867882273217,48523.00174288535
wind,2020,79984.05347995425,95974.26094574045,11856.684523739172,-4133.522942047024,48523.00174288535
wind,2021,98236.98392366886,95974.26094574045,-6093.568496572232,-3830.8455186438223,48523.00174288535
wind,2022,103561.02203787334,95974.26094574045,11206.773039735031,18793.53413186792,48523.00174288535
wind,2023,92944.85451309473,95974.26094574045,9173.591506959325,6144.185074313609,48523.00174288535
wind,2024,118579.73600031814,95974.26094574045,-26539.36765632729,-3933.892601749598,48523.00174288535
wind,2025,149524.0419703789,95974.26094574045,-57683.303966685475,-4133.522942047028,48523.00174288535
storage4,2017,99404.32713855214,149446.06822502337,0.0,-50041.74108647123,0.0
storage4,2018,190013.42367894284,149446.06822502337,-0.0,40567.355453919474,0.0
storage4,2019,105419.68043359015,149446.06822502337,0.0,-44026.38779143321,0.0
storage4,2020,80937.32682860213,149446.06822502337,0.0,-68508.74139642123,0.0
storage4,2021,180308.030069671,149446.06822502337,-0.0,30861.961844647623,0.0
storage4,2022,62167.49905168067,149446.06822502337,0.0,-87278.5691733427,0.0
storage4,2023,88811.78677101737,149446.06822502337,0.0,-60634.28145400599,0.0
storage4,2024,290132.75476125226,149446.06822502337,-0.0,140686.6865362289,0.0
storage4,2025,412936.933760818,149446.06822502337,-0.0,263490.86553579464,0.0
storage8,2017,123037.20101441946,262946.94265621604,0.0,-139909.74164179657,-0.0
storage8,2018,217838.1317488661,262946.94265621604,-0.0,-45108.81090734995,-0.0
storage8,2019,130649.30313921005,262946.94265621604,0.0,-132297.639517006,-0.0
storage8,2020,102037.60488534236,262946.94265621604,0.0,-160909.33777087368,-0.0
storage8,2021,204275.55834832758,262946.94265621604,-0.0,-58671.38430788845,-0.0
storage8,2022,82583.35900695436,262946.94265621604,0.0,-180363.58364926168,-0.0
storage8,2023,112476.1920910337,262946.94265621604,0.0,-150470.75056518233,-0.0
storage8,2024,321651.5104368278,262946.94265621604,-0.0,58704.567780611746,-0.0
storage8,2025,520297.70756296645,262946.94265621604,-0.0,257350.7649067504,-0.0
