tech,year,spot_margin,I,contract_payoff_per_MW,profit_per_MW,K_MW
nuclear,2017,370389.2477726771,393791.0855015716,-29900.526056438095,-53302.363785332585,-0.0
nuclear,2018,358763.8821305129,393791.0855015716,-19953.257988761496,-54980.46135982018,-0.0
nuclear,2019,310174.5504075497,393791.0855015716,29369.877265648352,-54246.65782837353,-0.0
nuclear,2020,281788.66862889624,393791.0855015716,57952.35286759364,-54050.06400508172,-0.0
nuclear,2021,379118.58058618533,393791.0855015716,-38610.5522196669,-53283.05713505316,-0.0
nuclear,2022,277642.9334485582,393791.0855015716,61214.484779479266,-54933.66727353412,-0.0
nuclear,2023,276072.1812264117,393791.0855015716,62738.4429153397,-54980.461359820176,-0.0
nuclear,2024,568734.6803531838,393791.0855015716,-223576.37273544297,-48632.7778838308,-0.0
nuclear,2025,748324.3075865796,393791.0855015716,-395071.3920420062,-40538.1699569982,-0.0
ccgt,2017,123096.54126193069,95537.60126819545,-28321.51041844965,-762.5704247144058,92947.71079729522
ccgt,2018,108941.72787265145,95537.60126819545,-18899.54721679706,-5495.420612341055,92947.71079729522
ccgt,2019,66964.98800713521,95537.60126819545,27818.884637601444,-753.7286234587918,92947.71079729522
ccgt,2020,44732.98770905354,95537.60126819545,54891.94947323758,4087.3359140956745,92947.71079729522
ccgt,2021,135238.21593907342,95537.60126819545,-36571.56917197244,3129.045498905529,92947.71079729522
ccgt,2022,33791.73411652015,95537.60126819545,57981.811596547384,-3764.0555551279103,92947.71079729522
ccgt,2023,30616.889565314665,95537.60126819545,59425.29109053974,-5495.420612341048,92947.71079729522
ccgt,2024,324620.99318548146,95537.60126819545,-211769.53735844517,17313.85455884086,92947.71079729522
ccgt,2025,504123.1244736559,95537.60126819545,-374208.0833169789,34377.439888481575,92947.71079729522
ct,2017,109301.21885896017,81179.84459482426,-23228.86163482524,4892.512629310673,31799.69029405844
ct,2018,89428.26997551287,81179.84459482426,-15501.114198126777,-7252.688817438166,31799.69029405844
ct,2019,49682.37220861826,81179.84459482426,22816.61579959559,-8680.856586610407,31799.69029405844
ct,2020,29809.42332517096,81179.84459482426,45021.52181647144,-6348.899453181861,31799.69029405844
ct,2021,119237.69330068384,81179.84459482426,-29995.431299835724,8062.417406023855,31799.69029405844
ct,2022,19872.948883447305,81179.84459482426,47555.778594185336,-13751.117117191621,31799.69029405844
