tech,year,spot_margin,I,contract_payoff_per_MW,profit_per_MW,K_MW
nuclear,2017,228962.52859999996,393791.0855015716,0.0,-164828.55690157163,-0.0
nuclear,2018,345099.16767999995,393791.0855015716,-0.0,-48691.91782157164,-0.0
nuclear,2019,243932.14593814852,393791.0855015716,0.0,-149858.93956342308,-0.0
nuclear,2020,219102.83727999998,393791.0855015716,0.0,-174688.24822157162,-0.0
nuclear,2021,310414.6162,393791.0855015716,-0.0,-83376.4693015716,-0.0
nuclear,2022,211913.1891227793,393791.0855015716,0.0,-181877.8963787923,-0.0
nuclear,2023,236662.21019999997,393791.0855015716,0.0,-157128.87530157162,-0.0
nuclear,2024,520915.42215999996,393791.0855015716,-0.0,127124.33665842836,-0.0
nuclear,2025,759249.3956963527,393791.0855015716,-0.0,365458.3101947811,-0.0
ccgt,2017,31872.164600000004,95537.60126819545,52889.52514561798,-10775.911522577459,104832.92057621303
ccgt,2018,148008.80368,95537.60126819545,-43777.73286806763,8693.469543736937,104832.92057621303
ccgt,2019,46841.78193814855,95537.60126819545,41227.47824158002,-7468.34108846687,104832.92057621303
ccgt,2020,22012.47328000001,95537.60126819545,60979.98696835876,-12545.14101983668,104832.92057621303
ccgt,2021,113324.25220000002,95537.60126819545,-15370.820452336231,2415.830479468341,104832.92057621303
ccgt,2022,14822.825122779348,95537.60126819545,67140.4177334175,-13574.35841199859,104832.92057621303
ccgt,2023,39571.84620000001,95537.60126819545,46433.892788990335,-9531.862279205103,104832.92057621303
ccgt,2024,323825.05815999996,95537.60126819545,-190079.5324908679,38207.92440093664,104832.92057621303
ccgt,2025,562159.0316963526,95537.60126819545,-382001.1755550918,84620.2548730654,104832.92057621303
ct,2017,19893.92888,81179.84459482426,52832.89505875058,-8453.020656073677,28592.7320250673
ct,2018,129310.53772,81179.84459482426,-43730.858996382245,4399.834128793489,28592.7320250673
ct,2019,32027.16981814855,81179.84459482426,41183.33498887135,-7969.339787804354,28592.7320250673
ct,2020,9946.964440000002,81179.84459482426,60914.69422939611,-10318.185925428152,28592.7320250673
ct,2021,99469.64439999999,81179.84459482426,-15354.362545122232,2935.437260053499,28592.7320250673
ct,2022,4.9666937229631e-12,81179.84459482426,67068.5288730413,-14111.315721782958,28592.7320250673
