tech,year,spot_margin,I,contract_payoff_per_MW,profit_per_MW,K_MW
nuclear,2017,300399.18477276573,393791.0855015716,89978.15027718351,-3413.750451622356,84846.48306335011
nuclear,2018,546627.0881816067,393791.0855015716,-144878.02468872885,7957.977991306281,84846.48306335011
nuclear,2019,380859.94455142086,393791.0855015716,16264.88456730533,3333.7436171545996,84846.48306335011
nuclear,2020,255868.4920706959,393791.0855015716,132475.77158156113,-5446.821849314554,84846.48306335011
nuclear,2021,441082.085018186,393791.0855015716,-45041.85939019424,2249.140126420185,84846.48306335011
nuclear,2022,335106.78631921305,393791.0855015716,63065.777427069144,4381.478244710597,84846.48306335011
nuclear,2023,251347.50205690222,393791.0855015716,137001.68475756893,-5441.898687100445,84846.48306335011
nuclear,2024,683928.1732235963,393791.0855015716,-279406.7927343416,10730.294987683126,84846.48306335011
nuclear,2025,965649.074591273,393791.0855015716,-537051.5705918834,34806.41849781794,84846.48306335011
ccgt,2017,47347.51609653231,95537.60126819545,39250.81709545189,-8939.26807621125,28147.141618449215
ccgt,2018,206687.06174837105,95537.60126819545,-63199.57490446046,47949.88557571515,28147.141618449215
ccgt,2019,93672.553718801,95537.60126819545,7095.167074042712,5230.119524648272,28147.141618449215
ccgt,2020,31357.721721877802,95537.60126819545,57789.3884671829,-6390.491079134743,28147.141618449215
ccgt,2021,152616.50304114667,95537.60126819545,-19648.43441565929,37430.46735729194,28147.141618449215
ccgt,2022,18978.999489336526,95537.60126819545,27510.937790416796,-49047.66398844213,28147.141618449215
ccgt,2023,36150.28277960271,95537.60126819545,59763.70989648689,376.3914078941598,28147.141618449215
ccgt,2024,380740.91592800297,95537.60126819545,-121884.53400140027,163318.78065840725,28147.141618449215
ccgt,2025,581189.6249054202,95537.60126819545,-234275.90924229674,251376.11439492807,28147.141618449215
ct,2017,39200.41785652457,81179.84459482426,37684.970694642194,-4294.4560436574975,13902.12070440223
ct,2018,186201.9848184917,81179.84459482426,-60678.3324381904,44343.807785477045,13902.12070440223
ct,2019,78400.83571304944,81179.84459482426,6812.1171237954195,4033.108242020601,13902.12070440223
ct,2020,19600.208928262284,81179.84459482426,55483.976436746045,-6095.65922981593,13902.12070440223
ct,2021,137201.46249783598,81179.84459482426,-18864.592636353493,37157.025266658224,13902.12070440223
ct,2022,5982.225108076694,81179.84459482426,26413.434448836295,-48784.18503791127,13902.12070440223
ct,2023,29400.313392393426,81179.84459482426,57379.5355794816,5600.004377050762,13902.12070440223
ct,2024,362603.86517285224,81179.84459482426,-117022.15219629451,164401.86838173348,13902.12070440223
ct,2025,548805.8499913439,81179.84459482426,-224929.85949277508,242696.1459037446,13902.12070440223
coal,2017,39004.37376276002,250433.9871366213,0.0,-211429.61337386127,-0.0
coal,2018,185270.7753731101,250433.9871366213,-0.0,-65163.21176351118,-0.0
coal,2019,78008.74752552004,250433.9871366213,0.0,-172425.23961110125,-0.0
coal,2020,19502.18688138001,250433.9871366213,0.0,-230931.80025524128,-0.0
coal,2021,136515.30816966007,250433.9871366213,-0.0,-113918.67896696122,-0.0
coal,2022,5933.214084635556,250433.9871366213,0.0,-244500.77305198574,-0.0
coal,2023,29253.280322070015,250433.9871366213,0.0,-221180.70681455126,-0.0
coal,2024,360790.4573055302,250433.9871366213,-0.0,110356.47016890891,-0.0
coal,2025,546061.2326786403,250433.9871366213,-0.0,295627.245542019,-0.0
solar,2017,60299.48060702901,74370.95515776894,10632.941475455154,-3438.5330752847804,36634.73653959843
solar,2018,88627.66971424563,74370.95515776894,-17124.99836254953,-2868.2838060728463,36634.73653959843
solar,2019,69003.26634917736,74370.95515776894,1920.6800450940716,-3447.0087634975134,36634.73653959843
solar,2020,61004.30690294391,74370.95515776894,15655.787545380448,2289.139290555413,36634.73653959843
solar,2021,74726.73157694313,74370.95515776894,-5325.239338048511,-4969.462918874323,36634.73653959843
solar,2022,63615.53745805341,74370.95515776894,7452.135066682417,-3303.2826330331127,36634.73653959843
solar,2023,53210.78145519654,74370.95515776894,16190.710783698076,-4969.462918874324,36634.73653959843
solar,2024,124809.68306132886,74370.95515776894,-33025.1187252907,17413.609178269224,36634.73653959843
solar,2025,185491.82877908036,74370.95515776894,-63476.471534659,47644.402086652415,36634.73653959843
wind,2017,80599.15984192185,95974.26094574045,15396.454213638182,21.35310981958537,21057.720390307655
wind,2018,132849.37091276783,95974.26094574045,-24795.862504906345,12079.247462121039,21057.720390307655
wind,2019,104007.91611100631,95974.26094574045,2781.4700762201783,10815.125241486046,21057.720390307655
wind,2020,67678.4491309671,95974.26094574045,22669.32176969978,-5626.490045073566,21057.720390307655
wind,2021,98058.08402103576,95974.26094574045,-7710.313120368877,-5626.490045073568,21057.720390307655
wind,2022,112911.98517668378,95974.26094574045,10790.781770082665,27728.506001026,21057.720390307655
wind,2023,75387.78066749082,95974.26094574045,23443.867875788506,2857.38759753888,21057.720390307655
wind,2024,142658.40419873106,95974.26094574045,-47818.560774729005,-1134.417521738389,21057.720390307655
wind,2025,197135.65769795742,95974.26094574045,-91910.82496166116,9250.571790555812,21057.720390307655
storage4,2017,119091.597010998,149446.06822502337,28215.10928989318,-2139.3619241321903,3912.6798946746194
storage4,2018,264401.2867547186,149446.06822502337,-45430.4660376297,69524.75249206551,3912.6798946746194
storage4,2019,163185.04045215028,149446.06822502337,5100.299286441185,18839.2715135681,3912.6798946746194
storage4,2020,92537.88443107095,149446.06822502337,41541.400461357356,-15366.783332595056,3912.6798946746194
storage4,2021,221385.613745352,149446.06822502337,-14124.10659031512,57815.43893001351,3912.6798946746194
storage4,2022,87251.26973511142,149446.06822502337,19775.998918351328,-42418.79957156062,3912.6798946746194
storage4,2023,96068.85006200662,149446.06822502337,42960.62428963391,-10416.593873382837,3912.6798946746194
storage4,2024,385368.2907546681,149446.06822502337,-87615.63967532528,148306.58285431948,3912.6798946746194
storage4,2025,476660.42886024015,149446.06822502337,-168407.20454776046,158807.15608745636,3912.6798946746194
storage8,2017,167372.67612383259,262946.94265621604,2548.918557377479,-93025.34797500598,-0.0
storage8,2018,332200.8781403305,262946.94265621604,-4104.132887236463,65149.80259687799,-0.0
storage8,2019,214461.70302007734,262946.94265621604,460.7548163581212,-48024.48481978057,-0.0
storage8,2020,139379.21683261424,262946.94265621604,3752.7994468315596,-119814.92637677024,-0.0
storage8,2021,270059.1284119968,262946.94265621604,-1275.9545612438085,5836.231194536973,-0.0
storage8,2022,138674.01053402826,262946.94265621604,1786.5396201643948,-122486.39250202339,-0.0
storage8,2023,136579.5397578376,262946.94265621604,3881.010396355056,-122486.39250202339,-0.0
storage8,2024,486722.07545034995,262946.94265621604,-7915.090017564862,215860.04277656905,-0.0
storage8,2025,669806.132281252,262946.94265621604,-15213.701441220848,391645.4881838151,-0.0
