regime,gamma,tau_market,converged,C_mean_$bn,C_max_$bn,C_risk_adj_$bn,emissions_Mt_mean,lost_load_GWh_mean,lost_load_hours_mean,price_mean,price_load_wtd,hours_at_VOLL,p_hat,Q_bar_MW,runtime_s,K_nuclear_MW,K_ccgt_MW,K_ct_MW,K_coal_MW,K_solar_MW,K_wind_MW,K_storage4_MW,K_storage8_MW,share_nuclear,share_ccgt,share_ct,share_coal,share_solar,share_wind,share_storage4,share_storage8,premium_pct_nuclear,premium_pct_ccgt,premium_pct_ct,premium_pct_coal,premium_pct_solar,premium_pct_wind,premium_pct_storage4,premium_pct_storage8,chi_nuclear,chi_ccgt,chi_ct,chi_coal,chi_solar,chi_wind,chi_storage4,chi_storage8,cost_variable_om_fuel_$bn,cost_carbon_at_tau_welfare_$bn,cost_lost_load_$bn,cost_capex_annualized_$bn,cost_reliability_psi_$bn
P1,0.0,0.0,True,102.02804663107108,107.72263071870746,102.02804663107108,227.55367460107962,21.965333520543027,8.0,42.12339886623378,48.58951453826404,72,,0.0,137.6127107143402,-0.0,105062.38970917127,30012.733956709635,-0.0,22228.821180783933,27057.551474210803,-1.533643414107867e-14,-0.0,0.0,0.8531657811231269,0.008029218106233221,0.0,0.044327289841316724,0.09444985395132152,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.336400128933143,63.715028888302285,0.2196533352054303,16.723844943774917,0.03311933485528831
P2,0.0,280.0,True,52.43962828958736,55.80247436485549,52.43962828958736,10.738931798987203,26.322163686350976,7.666666666666667,53.671700262754136,66.505230631161,74,,0.0,302.26908326148987,82040.50025138521,29858.62799961491,15984.359758393668,-0.0,38459.709453845935,29356.77497445176,4077.4208210740953,0.0,0.7814402687984047,0.038735653646130346,0.0013498210803680906,0.0,0.07669388647775945,0.10247575843887968,-0.0007287708590720787,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.381916092994761,3.0069009037164167,0.2632216368635098,42.74418180576627,0.04340785024641245
R2,0.3,0.0,True,101.13358943388127,107.24477584650732,133.30702218783347,224.30750744179582,33.3057434788588,10.444444444444445,44.93223825274974,53.06677192727181,94,,0.0,2138.942275285721,-0.0,104350.77625405813,29361.70880467258,-0.0,21130.277149238995,31266.562895072006,-0.0,-0.0,0.0,0.8403618446263487,0.008317013134216041,0.0,0.0421366437744962,0.10914225929918496,0.0,0.0,,25.75471091932349,29.999999999999847,,10.586624736286028,3.423284494888023,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.03326716887774,62.806102083702825,0.3330574347885879,16.925265972094014,0.03589677441809362
R3,0.3,0.0,True,101.26984171102706,107.38734804672006,133.4860461250431,224.79328675342398,33.424806427420236,10.555555555555555,44.90274946020553,53.031382942642004,95,43.21729879464762,112108.1003,443.6277029514313,-0.0,104677.51677741748,29099.40966744296,-0.0,21053.67686075154,30749.37494606056,-0.0,-0.0,0.0,0.8425109649925787,0.008125842254701164,0.0,0.04198389239096143,0.1073369101974352,0.0,0.0,,25.484323324011324,29.999956624596038,,10.517765255955483,3.429399821742369,,,0.9995504095495509,0.9995504095495525,0.227867046324136,0.9995504095495543,0.04022333055679594,0.0,0.5272760646595901,0.7274863492415896,21.078173121761445,62.94212029095871,0.33424806427420234,16.879855006938637,0.03544522709404932
R4,0.3,0.0,True,101.26984171102706,107.38734804672006,133.4860461250431,224.79328675342398,33.424806427420236,10.555555555555555,44.9027520185454,53.031386908552534,95,43.21730150125638,112108.1003,468.1578459739685,-0.0,104677.51677741748,29099.40966744296,-0.0,21053.67686075154,30749.37494606056,-0.0,-0.0,0.0,0.8425109649925787,0.008125842254701164,0.0,0.04198389239096143,0.1073369101974352,0.0,0.0,,25.484346781850938,29.999983878005803,,10.517774359425255,3.4293996475019966,,,0.999550404418814,0.9995504044188149,0.25696899548932217,0.9995504044188175,0.0,0.0,0.5272205940997818,0.7274543718365453,21.078173121761445,62.94212029095871,0.33424806427420234,16.879855006938637,0.03544522709404932
R5,0.3,280.0,True,52.44872370522468,56.032641956211634,69.25851629208816,10.549365851850894,32.99792505495217,10.0,56.2400758797017,70.71228454965781,95,56.02433117743952,112108.1003,1039.2068729400635,82888.4111616875,29112.149502455057,15573.407888362575,-0.0,38333.675731952106,26675.075226280413,3953.0341115426572,-0.0,0.7918002257487661,0.037879037942926,0.0014358374525650325,0.0,0.07644255811109837,0.09311474327838032,-0.0007142513165687527,0.0,5.713428067038996,26.212267009124243,29.99995966934858,,5.062241812677692,5.800898131631566,14.107105731140784,,1.0,0.4178591434016828,0.3948800870252977,0.0,0.12346928860003241,0.17353462978696418,0.39038409557644044,0.17610827291577139,6.435646916042821,2.9538224385182503,0.3299792505495217,42.68806728521344,0.041207814900649564
R6,0.3,280.0,True,52.453317670531064,56.11389642830743,69.2874865990233,11.372494237780325,33.50644259844256,9.777777777777779,58.169041986362835,72.67946055170238,95,,0.0,842.7422535419464,81733.78170163985,30140.561919837695,15607.431140931862,-0.0,38470.694275981004,27682.4610212983,3855.625926538449,-0.0,0.7848789643246847,0.04100986984716959,0.001436486606316494,0.0,0.076715791705692,0.09663122707044712,-0.0007148332516399064,0.0,10.004470631574248,26.263080084269873,29.99999999999978,,7.558786958944371,8.815908988207383,15.602707062199217,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.465159271333729,3.1842983865784915,0.33506442598442554,42.42671459151255,0.042080995121869205
