tech,year,spot_margin,I,contract_payoff_per_MW,profit_per_MW,K_MW
nuclear,2017,318788.1598348201,393791.0855015716,0.0,-75002.92566675151,81639.45360036222
nuclear,2018,538496.5315921274,393791.0855015716,0.0,144705.4460905558,81639.45360036222
nuclear,2019,406899.07578445226,393791.0855015716,0.0,13107.990282880666,81639.45360036222
nuclear,2020,279512.6649678059,393791.0855015716,0.0,-114278.42053376569,81639.45360036222
nuclear,2021,457120.94626149535,393791.0855015716,0.0,63329.86075992376,81639.45360036222
nuclear,2022,351346.09405371617,393791.0855015716,0.0,-42444.99144785543,81639.45360036222
nuclear,2023,275823.1427997169,393791.0855015716,0.0,-117967.94270185468,81639.45360036222
nuclear,2024,639972.2909416865,393791.0855015716,0.0,246181.2054401149,81639.45360036222
nuclear,2025,913164.4361986425,393791.0855015716,0.0,519373.3506970709,81639.45360036222
ccgt,2017,37782.8687164912,95537.60126819545,0.0,-57754.73255170425,30049.463274440855
ccgt,2018,167471.01334025394,95537.60126819545,0.0,71933.41207205849,30049.463274440855
ccgt,2019,93706.8114502156,95537.60126819545,0.0,-1830.7898179798503,30049.463274440855
ccgt,2020,22345.64775335714,95537.60126819545,0.0,-73191.9535148383,30049.463274440855
ccgt,2021,132589.33774153996,95537.60126819545,0.0,37051.736473344514,30049.463274440855
ccgt,2022,12570.67758689525,95537.60126819545,0.0,-82966.92368130019,30049.463274440855
ccgt,2023,26497.774254067455,95537.60126819545,0.0,-69039.827014128,30049.463274440855
ccgt,2024,311185.7891938909,95537.60126819545,0.0,215648.18792569544,30049.463274440855
ccgt,2025,503709.87925608235,95537.60126819545,0.0,408172.2779878869,30049.463274440855
ct,2017,29400.313392393426,81179.84459482426,0.0,-51779.53120243084,14720.709325904361
ct,2018,147001.56696196712,81179.84459482426,0.0,65821.72236714287,14720.709325904361
ct,2019,78400.83571304913,81179.84459482426,0.0,-2779.008881775124,14720.709325904361
ct,2020,9800.10446413191,81179.84459482426,0.0,-71379.74013069234,14720.709325904361
ct,2021,117601.25356957372,81179.84459482426,0.0,36421.40897474946,14720.709325904361
ct,2022,7.389644451905042e-13,81179.84459482426,0.0,-81179.84459482426,14720.709325904361
ct,2023,19600.208928262284,81179.84459482426,0.0,-61579.635666561975,14720.709325904361
ct,2024,294003.1339239343,81179.84459482426,0.0,212823.28932911006,14720.709325904361
ct,2025,473182.34521215816,81179.84459482426,0.0,392002.5006173339,14720.709325904361
