tech,year,spot_margin,I,contract_payoff_per_MW,profit_per_MW,K_MW
nuclear,2017,228962.52859999996,393791.0855015716,0.0,-164828.55690157163,-0.0
nuclear,2018,345099.16767999995,393791.0855015716,-0.0,-48691.91782157164,-0.0
nuclear,2019,243932.3163926552,393791.0855015716,0.0,-149858.7691089164,-0.0
nuclear,2020,219102.83727999998,393791.0855015716,0.0,-174688.24822157162,-0.0
nuclear,2021,310414.6162,393791.0855015716,-0.0,-83376.4693015716,-0.0
nuclear,2022,211913.13697120541,393791.0855015716,0.0,-181877.94853036618,-0.0
nuclear,2023,236662.21019999997,393791.0855015716,0.0,-157128.87530157162,-0.0
nuclear,2024,520915.42215999996,393791.0855015716,-0.0,127124.33665842836,-0.0
nuclear,2025,759249.3604134414,393791.0855015716,-0.0,365458.27491186984,-0.0
ccgt,2017,31872.164600000004,95537.60126819545,51455.14083609327,-12210.295832102172,104832.92057621302
ccgt,2018,148008.80368,95537.60126819545,-42590.50656063205,9880.695851172517,104832.92057621302
ccgt,2019,46841.95239265523,95537.60126819545,40109.253170212316,-8586.395705327901,104832.92057621302
ccgt,2020,22012.47328000001,95537.60126819545,59326.18978785341,-14198.938200342032,104832.92057621302
ccgt,2021,113324.25220000002,95537.60126819545,-14953.988016769854,2832.662915034718,104832.92057621302
ccgt,2022,14822.77297120547,95537.60126819545,65319.591732344226,-15395.236564645747,104832.92057621302
ccgt,2023,39571.84620000001,95537.60126819545,45174.584866994184,-10791.170201201254,104832.92057621302
ccgt,2024,323825.05815999996,95537.60126819545,-184924.60958116362,43362.84731064091,104832.92057621302
ccgt,2025,562158.9964134414,95537.60126819545,-371641.3208572839,94980.07428796205,104832.92057621302
ct,2017,19893.92888,81179.84459482426,51400.011634295646,-9885.904080528613,28592.732025067307
ct,2018,129310.53772,81179.84459482426,-42544.87495623467,5585.818168941063,28592.732025067307
ct,2019,32027.340272655227,81179.84459482426,40066.27998860125,-9086.224333567778,28592.732025067307
ct,2020,9946.964440000002,81179.84459482426,59262.62751913633,-11970.252635687932,28592.732025067307
ct,2021,99469.64439999999,81179.84459482426,-14937.966266374071,3351.8335388016603,28592.732025067307
ct,2022,5.215383680479135e-12,81179.84459482426,65249.60811369237,-15930.236481131891,28592.732025067307
