regime,gamma,tau_market,converged,C_mean_$bn,C_max_$bn,C_risk_adj_$bn,emissions_Mt_mean,lost_load_GWh_mean,lost_load_hours_mean,price_mean,price_load_wtd,hours_at_VOLL,p_hat,Q_bar_MW,runtime_s,K_nuclear_MW,K_ccgt_MW,K_ct_MW,K_coal_MW,K_solar_MW,K_wind_MW,K_storage4_MW,K_storage8_MW,share_nuclear,share_ccgt,share_ct,share_coal,share_solar,share_wind,share_storage4,share_storage8,share_lost_load,curt_hours_any_mean,curt_share_vre,curt_hours_solar_mean,curt_share_solar,curt_GWh_solar_mean,curt_hours_wind_mean,curt_share_wind,curt_GWh_wind_mean,premium_pct_nuclear,premium_pct_ccgt,premium_pct_ct,premium_pct_coal,premium_pct_solar,premium_pct_wind,premium_pct_storage4,premium_pct_storage8,chi_nuclear,chi_ccgt,chi_ct,chi_coal,chi_solar,chi_wind,chi_storage4,chi_storage8,cost_variable_om_fuel_$bn,cost_carbon_at_tau_welfare_$bn,cost_lost_load_$bn,cost_capex_annualized_$bn,cost_reliability_psi_$bn,gamma_requested,completion_s,n_evaluations
P1,0.0,0.0,True,61.06838520287674,64.62367712817156,61.06838520287674,227.55367460107962,21.965333520543027,8.0,42.12339886623378,48.58951453826404,72,,0.0,180.34141445159912,-0.0,105062.38970917127,30012.733956709635,-0.0,22228.821180783933,27057.551474210803,-1.533643414107867e-14,-0.0,0.0,0.8531657811231269,0.008029218106233221,0.0,0.044327289841316724,0.09444985395132152,0.0,0.0,2.7856978001573656e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.336400128933143,22.755367460107962,0.2196533352054303,16.723844943774917,0.03311933485528831,0.6,0.0,0
P2,0.0,100.0,True,49.08669736557885,51.854872039059885,49.08669736557885,35.122735693206984,26.539036512410085,8.11111111111111,53.67125792992109,62.252960894225204,73,,0.0,348.0533199310303,60047.060073281296,45302.05154662213,24521.117729504498,-0.0,34003.222356318765,54878.90358830366,0.0,-0.0,0.6090150115335924,0.12799450541230745,0.003584929293214423,0.0,0.06780645325251115,0.19156544304737508,0.0,0.0,3.3657460999521895e-05,0.4444444444444444,4.078410520347273e-06,0.2222222222222222,8.736767780903598e-06,0.4671210257946481,0.2222222222222222,2.4295292238019073e-06,0.36698148324153995,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.487153907057512,3.5122735693206972,0.2653903651241009,37.76048116978192,0.06139835429462041,0.6,0.0,0
R2,0.6,0.0,True,60.95765060247586,65.0962031322011,100.0153724817965,226.105764685033,40.021202840651206,12.88888888888889,47.62895788681877,57.40017056279779,116,,0.0,1109.1354126930237,-0.0,105275.28267009571,27932.922594253647,-0.0,21809.61053756333,28814.452456221698,-0.0,-0.0,0.0,0.8481760352140407,0.007699210010146041,0.0,0.04349132685724862,0.10058267204153279,0.0,0.0,5.0755877031680784e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,50.48137736359484,59.999999999999076,,20.44730719221105,6.435821702555971,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.199777287142084,22.6105764685033,0.40021202840651204,16.712785640752518,0.03429917767145132,0.6,1076.8,285
R3,0.6,0.0,True,61.13052751988648,65.37367632549261,100.35473331518203,227.76331189828326,41.617014950853815,12.88888888888889,47.73729927825091,57.56133962873162,116,43.27128371360772,112108.1003,1197.8155896663666,-0.0,104832.92057621302,28592.732025067307,-0.0,21110.899706013908,27520.71245096044,-0.0,-0.0,0.0,0.8533872117009789,0.008395395070805374,0.0,0.042098002519737956,0.09606661098314864,0.0,0.0,5.2779725329134724e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,51.47477742425138,59.99997213328902,,21.394132059024404,6.8909271348229915,,,0.0,0.8176296270595832,0.8167536160726642,0.0,0.14401950239797529,0.0,0.0,0.0,21.357163690161222,22.776331189828326,0.4161701495085382,16.547957121684345,0.03290536870406165,0.6,1162.0,192
R4,0.6,0.0,True,61.13052751988648,65.3736763254926,100.35473331518203,227.76331189828326,41.61701495085345,12.88888888888889,47.73729822523187,57.56133796904471,116,43.27128736887862,112108.1003,1001.9230935573578,-0.0,104832.92057621303,28592.7320250673,-0.0,21110.899706013908,27520.712450960436,-0.0,-0.0,0.0,0.853387211700979,0.008395395070805362,0.0,0.042098002519737956,0.09606661098314863,0.0,0.0,5.277972532913427e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,51.47476776894444,59.99995363230984,,21.39413765076017,6.8909271348229915,,,0.0,0.8404218196849202,0.8395219598256574,0.0,0.0,0.0,0.0,0.0,21.357163690161215,22.776331189828326,0.41617014950853454,16.547957121684345,0.03290536870406165,0.6,971.8999999999999,192
R5,0.6,100.0,True,49.1317207832509,52.47539063936503,80.61695516686991,34.649353608932095,44.85477387099619,12.444444444444445,59.08561354306871,70.5639279411486,112,55.34034216982572,112108.1003,1235.2477214336395,62009.30339331865,44089.42786786223,22702.312899849538,-0.0,32262.655505855048,48523.00174288535,0.0,-0.0,0.6365428796775888,0.12593676050052183,0.0037480070018735506,0.0,0.06433611886242878,0.16937934802649823,0.0,0.0,5.688593108869904e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.04341136242706,45.565928552421525,52.686929503153856,,11.899109970388007,9.59753401940264,,,1.0,0.6514561344380925,0.6229059213836352,0.0,0.0,0.14910585215262756,0.0,0.0,7.632562001527821,3.464935360893209,0.4485477387099619,37.530243044425575,0.055432637694336144,0.6,1184.4,328
R6,0.6,100.0,True,49.131027847337215,52.477750320516726,80.61767803964725,35.044566279593305,45.212876298458404,12.444444444444445,59.24068605832964,70.6809121422191,112,,0.0,937.109582901001,61584.50484353498,44329.16890477886,22755.363082459466,-0.0,32524.167292622056,49258.05728938652,0.0,0.0,0.6319603101441709,0.12741592712076394,0.003763605724674318,0.0,0.0648576088989298,0.1719452080260372,0.0,0.0,5.734008542397446e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.388374791944914,45.57751464164978,52.68696719142322,,11.851844268200347,9.788036231298806,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.638121160808368,3.5044566279593297,0.45212876298458404,37.48016734575573,0.056153949829204665,0.6,870.3000000000001,338
