tech,year,spot_margin,I,contract_payoff_per_MW,profit_per_MW,K_MW
nuclear,2017,333002.2832312788,393791.0855015716,0.0,-60788.80227029277,81466.80897810726
nuclear,2018,581142.210978695,393791.0855015716,0.0,187351.12547712337,81466.80897810726
nuclear,2019,423742.23536847066,393791.0855015716,0.0,29951.149866899068,81466.80897810726
nuclear,2020,305116.16206165636,393791.0855015716,0.0,-88674.92343991523,81466.80897810726
nuclear,2021,482263.7231572321,393791.0855015716,0.0,88472.63765566051,81466.80897810726
nuclear,2022,358860.49774561543,393791.0855015716,0.0,-34930.58775595616,81466.80897810726
nuclear,2023,280946.64712419914,393791.0855015716,0.0,-112844.43837737245,81466.80897810726
nuclear,2024,686186.4531612317,393791.0855015716,0.0,292395.3676596601,81466.80897810726
nuclear,2025,1006448.4399514856,393791.0855015716,0.0,612657.3544499141,81466.80897810726
ccgt,2017,47582.973180622095,95537.60126819545,0.0,-47954.62808757335,30323.305016144062
ccgt,2018,200813.25174688458,95537.60126819545,0.0,105275.65047868913,30323.305016144062
ccgt,2019,103817.39970167601,95537.60126819545,0.0,8279.798433480566,30323.305016144062
ccgt,2020,41945.856681618025,95537.60126819545,0.0,-53591.74458657742,30323.305016144062
ccgt,2021,152340.24355947357,95537.60126819545,0.0,56802.64229127813,30323.305016144062
ccgt,2022,13356.859512364166,95537.60126819545,0.0,-82180.74175583127,30323.305016144062
ccgt,2023,26595.101597317447,95537.60126819545,0.0,-68942.499670878,30323.305016144062
ccgt,2024,350665.6219313404,95537.60126819545,0.0,255128.020663145,30323.305016144062
ccgt,2025,592231.7808754931,95537.60126819545,0.0,496694.17960729764,30323.305016144062
ct,2017,39200.41785652457,81179.84459482426,0.0,-41979.42673829969,14079.235895240177
ct,2018,179592.10755019434,81179.84459482426,0.0,98412.26295537008,14079.235895240177
ct,2019,88200.94017718028,81179.84459482426,0.0,7021.095582356022,14079.235895240177
ct,2020,29400.313392393426,81179.84459482426,0.0,-51779.53120243084,14079.235895240177
ct,2021,137201.46249783598,81179.84459482426,0.0,56021.61790301172,14079.235895240177
ct,2022,475.37639654447037,81179.84459482426,0.0,-80704.46819827979,14079.235895240177
ct,2023,19600.208928262284,81179.84459482426,0.0,-61579.635666561975,14079.235895240177
ct,2024,333203.55178045883,81179.84459482426,0.0,252023.7071856346,14079.235895240177
ct,2025,561300.9639921007,81179.84459482426,0.0,480121.11939727643,14079.235895240177
coal,2017,39004.37376276002,250433.9871366213,0.0,-211429.61337386127,-0.0
coal,2018,178660.89810481275,250433.9871366213,0.0,-71773.08903180854,-0.0
coal,2019,87759.84096621005,250433.9871366213,0.0,-162674.14617041126,-0.0
coal,2020,29253.280322070015,250433.9871366213,0.0,-221180.70681455126,-0.0
coal,2021,136515.30816966007,250433.9871366213,0.0,-113918.67896696122,-0.0
coal,2022,426.36537310333233,250433.9871366213,0.0,-250007.62176351796,-0.0
coal,2023,19502.18688138001,250433.9871366213,0.0,-230931.80025524128,-0.0
coal,2024,331537.1769834602,250433.9871366213,0.0,81103.18984683891,-0.0
coal,2025,558458.3246325147,250433.9871366213,0.0,308024.3374958935,-0.0
solar,2017,63461.663733649395,74370.95515776894,0.0,-10909.291424119547,38107.74681197958
solar,2018,95268.90239609269,74370.95515776894,0.0,20897.947238323744,38107.74681197958
solar,2019,73358.95402122254,74370.95515776894,0.0,-1012.0011365464015,38107.74681197958
solar,2020,66432.83012224024,74370.95515776894,0.0,-7938.125035528705,38107.74681197958
solar,2021,78246.97943991647,74370.95515776894,0.0,3876.024282147526,38107.74681197958
solar,2022,66187.95465582199,74370.95515776894,0.0,-8183.000501946954,38107.74681197958
solar,2023,57212.761225945695,74370.95515776894,0.0,-17158.193931823247,38107.74681197958
solar,2024,120792.35458728627,74370.95515776894,0.0,46421.39942951733,38107.74681197958
solar,2025,187403.08476741659,74370.95515776894,0.0,113032.12960964764,38107.74681197958
wind,2017,86081.97360106277,95974.26094574045,0.0,-9892.28734467768,26449.02580144385
wind,2018,133802.44893832871,95974.26094574045,0.0,37828.18799258827,26449.02580144385
wind,2019,109451.62405542549,95974.26094574045,0.0,13477.363109685044,26449.02580144385
wind,2020,74546.34683833618,95974.26094574045,0.0,-21427.91410740427,26449.02580144385
wind,2021,105064.9515319373,95974.26094574045,0.0,9090.690586196855,26449.02580144385
wind,2022,116417.51229028605,95974.26094574045,0.0,20443.2513445456,26449.02580144385
wind,2023,78296.06101152813,95974.26094574045,0.0,-17678.199934212316,26449.02580144385
wind,2024,137563.17161444383,95974.26094574045,0.0,41588.91066870338,26449.02580144385
wind,2025,197775.93493602678,95974.26094574045,0.0,101801.67399028633,26449.02580144385
storage4,2017,123809.13623937198,149446.06822502337,0.0,-25636.93198565139,4058.296001307903
storage4,2018,256853.13667840074,149446.06822502337,0.0,107407.06845337737,4058.296001307903
storage4,2019,174273.837460671,149446.06822502337,0.0,24827.769235647633,4058.296001307903
storage4,2020,100051.62680573837,149446.06822502337,0.0,-49394.441419284994,4058.296001307903
storage4,2021,217911.15511822017,149446.06822502337,0.0,68465.0868931968,4058.296001307903
storage4,2022,78691.76545222882,149446.06822502337,0.0,-70754.30277279454,4058.296001307903
storage4,2023,89360.18700230181,149446.06822502337,0.0,-60085.88122272155,4058.296001307903
storage4,2024,370411.46343152167,149446.06822502337,0.0,220965.3952064983,4058.296001307903
storage4,2025,494482.0061740134,149446.06822502337,0.0,345035.93794899003,4058.296001307903
storage8,2017,172192.92711556974,262946.94265621604,0.0,-90754.0155406463,-0.0
storage8,2018,327719.75976284227,262946.94265621604,0.0,64772.81710662623,-0.0
storage8,2019,223823.92897965905,262946.94265621604,0.0,-39123.01367655699,-0.0
storage8,2020,145823.87679737707,262946.94265621604,0.0,-117123.06585883896,-0.0
storage8,2021,266723.3315944143,262946.94265621604,0.0,3776.3889381982735,-0.0
storage8,2022,128898.73611170973,262946.94265621604,0.0,-134048.2065445063,-0.0
storage8,2023,129040.22091314825,262946.94265621604,0.0,-133906.72174306778,-0.0
storage8,2024,460520.7086835539,262946.94265621604,0.0,197573.76602733787,-0.0
storage8,2025,684065.8384623623,262946.94265621604,0.0,421118.89580614626,-0.0
